bin valid fake clones missed
-1.9 0 2 0 0
-1.8 0 266 0 0
-1.7 4 1502 2 0
-1.6 8 2304 18 0
-1.5 28 2209 37 1
-1.4 390 2102 132 46
-1.3 812 2733 280 56
-1.2 866 2264 278 68
-1.1 758 2244 242 93
-1 771 1742 190 130
-0.9 833 1859 206 132
-0.8 869 1741 249 126
-0.7 945 2038 294 97
-0.6 1000 2310 267 98
-0.5 869 1471 191 140
-0.4 899 1479 241 137
-0.3 830 1252 167 191
-0.2 810 1025 174 191
-0.1 728 896 161 203
0 642 1150 206 225
0.1 724 1878 225 229
0.2 820 1733 225 236
0.3 875 1981 253 196
0.4 818 2445 240 164
0.5 839 1994 210 130
0.6 729 1737 114 115
0.7 732 2004 166 171
0.8 711 2424 240 231
0.9 650 2456 223 218
1 664 2311 200 165
1.1 642 2104 170 98
1.2 623 1892 152 85
1.3 235 1731 59 56
1.4 21 1555 12 8
1.5 1 1345 2 0
1.6 2 873 4 0
1.7 1 489 1 0
1.8 0 130 0 0
1.9 0 21 0 0
