bin valid fake clones missed
0.3 0 36 0 99
0.4 5 648 4 75
0.5 8 1384 4 34
0.6 10 2106 8 19
0.7 10 2075 16 16
0.8 44 1968 10 20
0.9 430 1909 106 80
1 1256 1775 289 359
1.1 1366 1744 304 350
1.2 1253 1747 293 244
1.3 1129 1678 283 251
1.4 1003 1415 258 222
1.5 882 1436 215 197
1.6 796 1373 204 154
1.7 695 1303 181 126
1.8 677 1098 159 130
1.9 555 1072 140 108
2 536 969 128 99
2.1 511 1045 125 95
2.2 418 898 91 77
2.3 413 870 112 72
2.4 365 845 86 56
2.5 362 800 94 63
2.6 351 758 77 30
2.7 308 718 95 46
2.8 309 662 75 38
2.9 246 704 63 56
3 241 602 84 35
3.1 244 553 65 31
3.2 241 571 60 33
3.3 196 496 54 27
3.4 220 481 46 17
3.5 184 417 42 28
3.6 181 435 37 27
3.7 170 428 42 32
3.8 173 367 35 23
3.9 168 404 40 24
4 164 350 34 22
4.1 136 329 36 16
4.2 122 353 28 16
4.3 151 308 32 21
4.4 137 297 43 12
4.5 113 278 28 14
4.6 94 319 35 13
4.7 114 256 27 14
4.8 103 255 41 14
4.9 86 244 16 15
5 110 270 19 8
5.1 87 226 14 8
5.2 89 228 19 14
5.3 86 200 25 6
5.4 89 172 18 10
5.5 77 194 22 11
5.6 84 181 15 15
5.7 79 205 20 12
5.8 81 183 18 15
5.9 75 187 19 5
6 86 207 17 8
6.1 66 194 20 7
6.2 71 180 22 13
6.3 55 138 17 9
6.4 48 176 9 9
6.5 68 161 15 8
6.6 62 138 15 4
6.7 40 146 11 5
6.8 65 131 13 10
6.9 47 149 12 8
7 40 155 3 11
7.1 46 108 8 7
7.2 48 108 11 10
7.3 55 108 8 6
7.4 42 123 10 4
7.5 47 111 17 5
7.6 40 116 11 9
7.7 43 98 7 2
7.8 27 86 11 3
7.9 29 98 11 1
8 29 96 10 2
8.1 51 102 3 5
8.2 41 94 11 6
8.3 35 113 3 1
8.4 37 83 7 6
8.5 37 104 9 6
8.6 28 71 10 4
8.7 37 73 8 4
8.8 25 83 8 1
8.9 40 62 9 9
9 35 87 7 5
9.1 36 92 10 4
9.2 30 77 9 2
9.3 15 72 7 4
9.4 26 71 10 3
9.5 21 63 16 4
9.6 34 47 7 6
9.7 33 71 4 3
9.8 25 74 9 6
9.9 28 67 3 3
10 21 75 3 3
10.1 23 64 7 0
10.2 26 48 4 2
10.3 22 89 3 1
10.4 24 53 8 3
10.5 13 53 6 1
10.6 23 41 8 2
10.7 17 40 4 2
10.8 23 37 4 6
10.9 18 59 4 2
11 12 46 4 2
11.1 15 52 6 3
11.2 24 47 3 2
11.3 14 48 5 0
11.4 11 51 4 1
11.5 25 28 5 3
11.6 13 30 2 5
11.7 13 46 5 1
11.8 16 40 2 3
11.9 16 40 0 4
12 19 43 3 1
12.1 16 31 5 3
12.2 15 48 7 3
12.3 12 47 1 4
12.4 6 50 5 0
12.5 12 32 2 1
12.6 9 48 6 2
12.7 11 34 1 0
12.8 3 33 1 2
12.9 20 28 2 2
13 10 38 6 1
13.1 17 34 1 2
13.2 13 63 4 2
13.3 12 38 2 3
13.4 12 30 1 1
13.5 9 33 3 2
13.6 7 26 2 4
13.7 8 40 1 0
13.8 13 32 2 2
13.9 13 34 1 1
14 11 32 4 0
14.1 5 27 0 1
14.2 9 25 2 1
14.3 19 29 2 0
14.4 12 30 1 3
14.5 9 37 2 1
14.6 6 27 3 0
14.7 6 33 1 1
14.8 10 15 2 1
14.9 6 25 1 1
15 8 35 1 2
15.1 10 30 2 1
15.2 9 27 2 3
15.3 7 26 3 0
15.4 5 24 1 0
15.5 8 31 1 1
15.6 8 28 2 0
15.7 6 23 2 1
15.8 5 36 0 0
15.9 12 28 0 1
16 8 16 3 0
16.1 6 28 0 2
16.2 5 32 3 1
16.3 5 35 0 0
16.4 4 38 1 2
16.5 2 23 0 2
16.6 4 32 1 0
16.7 5 15 3 1
16.8 4 30 0 1
16.9 3 15 1 3
17 3 19 0 3
17.1 5 23 0 2
17.2 4 31 3 0
17.3 6 20 2 1
17.4 4 14 0 0
17.5 4 27 1 1
17.6 5 21 0 1
17.7 2 29 0 2
17.8 3 7 0 3
17.9 6 26 3 1
18 4 15 1 0
18.1 6 19 2 0
18.2 4 16 1 2
18.3 3 20 2 0
18.4 4 20 0 0
18.5 6 15 0 0
18.6 1 15 2 1
18.7 7 10 0 1
18.8 4 18 0 0
18.9 3 15 0 0
19 2 14 3 0
19.1 7 26 0 0
19.2 2 17 3 4
19.3 5 28 3 0
19.4 3 19 1 0
19.5 2 17 0 0
19.6 2 23 0 0
19.7 1 18 0 0
19.8 1 21 1 0
19.9 4 8 3 0
20 7 8 0 0
20.1 4 19 0 0
20.2 2 22 1 1
20.3 5 12 1 0
20.4 4 9 0 0
20.5 4 10 0 1
20.6 5 23 0 1
20.7 2 17 1 0
20.8 2 7 0 0
20.9 2 9 0 2
21 5 8 0 0
21.1 4 25 0 0
21.2 3 15 1 0
21.3 6 13 2 0
21.4 5 12 1 0
21.5 3 17 0 0
21.6 6 11 0 0
21.7 1 14 1 0
21.8 2 9 0 2
21.9 3 15 0 0
22 4 13 0 0
22.1 2 22 0 0
22.2 2 17 2 0
22.3 3 18 1 1
22.4 4 17 1 2
22.5 5 10 0 0
22.6 6 10 0 1
22.7 1 29 0 1
22.8 3 22 1 0
22.9 2 14 2 0
23 2 10 1 0
23.1 1 17 0 1
23.2 1 16 0 0
23.3 5 8 0 0
23.4 2 16 2 0
23.5 3 11 0 0
23.6 6 10 1 0
23.7 3 7 1 0
23.8 4 6 0 2
23.9 1 13 2 0
24 1 15 0 0
24.1 4 15 2 0
24.2 4 13 2 0
24.3 1 10 0 0
24.4 0 9 0 0
24.5 3 13 0 1
24.6 2 7 0 2
24.7 1 7 2 0
24.8 3 9 0 1
24.9 1 9 1 1
25 1 13 0 0
25.1 5 7 1 0
25.2 1 10 0 0
25.3 0 10 0 0
25.4 6 13 1 0
25.5 3 9 1 0
25.6 2 14 0 0
25.7 1 11 0 0
25.8 0 14 0 1
25.9 3 5 0 0
26 3 11 0 0
26.1 2 8 1 0
26.2 2 12 0 0
26.3 1 19 0 2
26.4 2 18 1 0
26.5 1 11 0 0
26.6 0 11 0 0
26.7 1 5 0 1
26.8 4 3 0 1
26.9 3 9 0 0
27 1 6 0 0
27.1 0 13 0 0
27.2 0 4 0 0
27.3 2 15 1 1
27.4 2 6 0 0
27.5 1 8 0 0
27.6 0 6 0 0
27.7 2 4 0 0
27.8 2 6 0 0
27.9 2 12 0 0
28 1 11 1 0
28.1 0 16 0 0
28.2 0 9 0 1
28.3 1 9 0 0
28.4 0 3 0 1
28.5 1 6 0 0
28.6 0 11 0 0
28.7 0 17 0 0
28.8 0 10 1 0
28.9 0 8 0 0
29 0 5 1 0
29.1 1 6 0 0
29.2 1 8 0 0
29.3 1 9 1 0
29.4 1 13 0 0
29.5 0 5 0 0
29.6 1 1 0 0
29.7 1 8 0 0
29.8 2 5 0 0
29.9 1 8 1 0
30 1 13 0 0
30.1 2 3 0 0
30.2 1 8 0 0
30.3 4 12 0 0
30.4 2 8 0 0
30.5 1 6 0 0
30.6 0 11 0 0
30.7 1 7 0 0
30.8 0 10 0 1
30.9 1 5 0 0
31 0 8 0 0
31.1 0 4 0 0
31.2 2 8 0 1
31.3 2 7 0 0
31.4 0 12 0 0
31.5 0 4 0 0
