bin valid fake clones missed
-2.1 0 13 0 0
-2 1 66 0 0
-1.9 1 185 0 0
-1.8 2 234 0 0
-1.7 6 384 1 0
-1.6 13 510 1 0
-1.5 39 733 9 15
-1.4 398 529 59 129
-1.3 994 690 158 189
-1.2 1194 757 247 200
-1.1 1162 666 202 191
-1 1169 519 191 281
-0.9 1251 546 227 349
-0.8 1446 422 243 330
-0.7 1428 527 236 294
-0.6 1550 499 267 338
-0.5 1479 644 316 323
-0.4 1490 585 289 302
-0.3 1411 698 306 325
-0.2 1346 447 258 345
-0.1 1229 397 210 389
0 1237 475 240 456
0.1 1221 518 189 370
0.2 1415 500 240 272
0.3 1494 515 267 273
0.4 1483 308 252 245
0.5 1257 296 238 339
0.6 1194 304 212 367
0.7 1194 309 209 320
0.8 1222 304 234 323
0.9 1309 326 223 211
1 1120 353 170 256
1.1 972 245 161 237
1.2 869 200 126 187
1.3 322 194 41 104
1.4 21 130 4 35
1.5 9 162 0 2
1.6 1 58 0 0
1.7 1 33 0 0
1.8 0 13 0 0
1.9 0 1 0 0
