bin valid fake clones missed
0.3 0 607 0 206
0.4 0 3652 1 151
0.5 5 5548 1 69
0.6 2 7767 10 43
0.7 12 8742 28 38
0.8 27 9576 67 45
0.9 322 9911 156 163
1 1386 10905 456 724
1.1 1684 10556 558 575
1.2 1594 10630 471 393
1.3 1554 10337 490 306
1.4 1400 9811 485 268
1.5 1309 9251 414 210
1.6 1206 8817 419 213
1.7 1077 8501 325 180
1.8 968 7943 342 166
1.9 961 7769 319 139
2 899 7405 325 127
2.1 831 6994 272 94
2.2 767 6437 246 95
2.3 727 6241 252 93
2.4 622 5954 240 95
2.5 581 5907 200 72
2.6 543 5411 165 67
2.7 569 5242 176 51
2.8 516 4892 182 69
2.9 505 4966 184 47
3 518 4409 159 68
3.1 427 4295 152 61
3.2 407 4149 166 60
3.3 364 3964 119 38
3.4 379 3892 143 45
3.5 369 3650 102 50
3.6 332 3367 127 46
3.7 346 3408 100 40
3.8 302 3184 133 26
3.9 283 3098 105 25
4 308 3011 106 26
4.1 273 2782 98 20
4.2 240 2714 80 24
4.3 282 2505 76 25
4.4 235 2491 83 20
4.5 229 2405 84 15
4.6 217 2322 85 24
4.7 211 2264 63 26
4.8 206 2117 74 19
4.9 189 2060 65 20
5 192 2072 80 18
5.1 188 1996 71 32
5.2 202 1840 54 19
5.3 165 1771 68 18
5.4 189 1783 49 17
5.5 185 1665 61 20
5.6 155 1716 64 17
5.7 163 1486 49 20
5.8 172 1498 63 20
5.9 161 1651 58 14
6 148 1583 55 11
6.1 126 1457 46 11
6.2 142 1409 47 8
6.3 150 1328 53 12
6.4 124 1280 42 12
6.5 142 1246 41 13
6.6 130 1198 42 13
6.7 128 1326 47 12
6.8 124 1159 39 10
6.9 123 1126 35 13
7 118 1158 40 6
7.1 103 1085 34 6
7.2 99 1048 28 12
7.3 98 1078 33 7
7.4 90 1046 33 7
7.5 101 992 26 5
7.6 102 983 32 6
7.7 99 902 27 7
7.8 76 964 30 8
7.9 89 900 34 6
8 93 843 24 11
8.1 79 822 39 8
8.2 78 820 25 9
8.3 96 846 33 10
8.4 62 836 26 10
8.5 90 692 29 5
8.6 94 733 24 6
8.7 64 712 34 6
8.8 81 769 22 6
8.9 83 711 23 4
9 67 718 26 10
9.1 74 724 18 2
9.2 53 708 30 7
9.3 57 665 17 4
9.4 55 644 19 5
9.5 71 664 20 3
9.6 60 666 18 5
9.7 68 609 25 6
9.8 53 628 26 5
9.9 61 607 22 4
10 58 575 16 4
10.1 52 569 19 6
10.2 54 544 14 7
10.3 50 515 22 3
10.4 47 497 28 4
10.5 51 494 18 6
10.6 54 490 21 3
10.7 46 504 18 7
10.8 45 503 17 5
10.9 41 540 15 5
11 50 478 14 6
11.1 46 531 14 6
11.2 40 448 24 7
11.3 36 456 10 6
11.4 42 480 12 5
11.5 39 472 15 5
11.6 41 462 14 3
11.7 49 461 15 3
11.8 46 441 20 4
11.9 36 385 14 1
12 35 408 12 3
12.1 39 423 18 6
12.2 42 388 9 1
12.3 29 400 9 3
12.4 26 444 6 0
12.5 30 395 19 4
12.6 27 381 14 3
12.7 28 326 10 2
12.8 34 369 13 4
12.9 35 343 13 3
13 19 426 12 4
13.1 29 334 13 1
13.2 25 372 12 2
13.3 32 273 12 3
13.4 26 312 7 0
13.5 39 287 14 2
13.6 36 324 11 5
13.7 34 346 4 1
13.8 32 320 8 1
13.9 25 321 11 0
14 29 285 12 1
14.1 24 283 6 2
14.2 27 306 13 1
14.3 26 252 9 2
14.4 29 267 10 0
14.5 24 297 11 4
14.6 30 251 8 4
14.7 24 265 7 0
14.8 19 250 9 1
14.9 23 288 13 1
15 17 252 5 2
15.1 26 230 11 1
15.2 18 278 11 3
15.3 26 218 10 3
15.4 24 271 6 1
15.5 20 234 3 1
15.6 20 276 8 3
15.7 24 234 10 1
15.8 16 254 6 2
15.9 15 228 10 0
16 26 208 16 2
16.1 27 203 6 5
16.2 18 255 12 3
16.3 27 225 5 2
16.4 19 212 10 2
16.5 21 256 6 0
16.6 20 219 6 2
16.7 17 222 9 4
16.8 20 213 5 0
16.9 13 207 10 4
17 20 185 7 1
17.1 13 183 5 4
17.2 26 217 3 2
17.3 14 158 9 2
17.4 20 203 7 0
17.5 10 200 8 0
17.6 18 219 6 1
17.7 15 206 3 0
17.8 12 199 7 1
17.9 12 184 9 2
18 20 183 8 1
18.1 15 153 5 1
18.2 20 180 5 5
18.3 12 130 12 1
18.4 11 176 4 2
18.5 18 171 5 1
18.6 9 156 6 1
18.7 14 185 4 1
18.8 9 184 8 2
18.9 10 171 5 1
19 8 151 2 2
19.1 12 172 1 2
19.2 14 149 7 0
19.3 13 165 9 2
19.4 11 138 3 1
19.5 8 145 3 2
19.6 11 175 6 2
19.7 13 176 2 1
19.8 11 179 11 0
19.9 11 135 4 1
20 10 168 6 2
20.1 10 173 1 1
20.2 12 162 3 1
20.3 12 140 5 1
20.4 7 114 2 0
20.5 12 139 5 2
20.6 8 139 1 0
20.7 13 133 5 1
20.8 7 146 4 0
20.9 9 144 2 0
21 13 140 2 2
21.1 9 142 2 1
21.2 9 136 1 1
21.3 5 119 2 2
21.4 9 132 4 1
21.5 13 122 3 0
21.6 8 158 2 2
21.7 11 118 2 0
21.8 7 127 3 0
21.9 10 181 4 1
22 11 147 2 0
22.1 8 121 5 1
22.2 3 121 1 0
22.3 8 132 4 3
22.4 8 121 3 1
22.5 7 120 3 0
22.6 10 133 8 0
22.7 12 107 3 0
22.8 5 76 1 0
22.9 10 78 7 1
23 16 112 7 0
23.1 11 123 3 2
23.2 10 113 5 3
23.3 9 123 2 0
23.4 9 98 3 1
23.5 6 126 1 2
23.6 12 118 6 1
23.7 8 85 5 1
23.8 5 108 2 1
23.9 8 98 7 1
24 9 99 2 0
24.1 6 108 3 0
24.2 12 78 3 0
24.3 2 127 4 0
24.4 10 104 2 0
24.5 7 103 3 0
24.6 8 89 1 1
24.7 6 118 2 1
24.8 4 87 5 0
24.9 5 91 2 0
25 8 85 3 1
25.1 7 98 3 0
25.2 3 95 3 0
25.3 3 107 1 2
25.4 7 119 5 0
25.5 6 111 4 2
25.6 5 84 1 1
25.7 6 104 2 1
25.8 6 100 2 2
25.9 7 113 4 0
26 4 89 0 0
26.1 3 70 5 0
26.2 7 72 0 1
26.3 6 66 2 0
26.4 3 94 2 1
26.5 4 83 3 1
26.6 7 95 3 0
26.7 4 76 1 0
26.8 9 96 3 0
26.9 5 106 2 0
27 6 90 5 0
27.1 6 72 1 0
27.2 5 114 0 0
27.3 8 91 3 1
27.4 6 80 2 1
27.5 4 62 2 0
27.6 2 89 1 1
27.7 6 68 2 0
27.8 8 84 0 2
27.9 3 77 1 1
28 5 102 1 0
28.1 6 63 1 1
28.2 3 101 1 0
28.3 2 84 2 0
28.4 3 78 1 0
28.5 5 66 4 2
28.6 6 86 5 0
28.7 6 84 0 0
28.8 7 69 2 1
28.9 8 59 1 0
29 4 75 1 0
29.1 1 64 2 1
29.2 4 72 1 1
29.3 4 70 1 1
29.4 4 75 3 0
29.5 2 69 3 0
29.6 1 73 2 1
29.7 4 68 6 1
29.8 5 73 0 0
29.9 6 81 0 0
30 3 80 3 0
30.1 2 46 0 0
30.2 1 79 1 0
30.3 2 67 1 1
30.4 4 64 0 0
30.5 1 63 3 0
30.6 6 67 1 0
30.7 2 62 0 0
30.8 3 65 0 1
30.9 5 62 0 1
31 3 63 2 0
31.1 3 66 3 0
31.2 4 64 0 1
31.3 5 58 1 0
31.4 4 75 1 0
31.5 3 59 0 1
31.6 1 54 3 0
31.7 3 59 0 0
31.8 4 58 1 0
31.9 1 55 0 0
32 4 52 2 0
32.1 2 64 2 1
32.2 1 50 2 0
32.3 3 64 0 0
32.4 5 63 2 1
32.5 4 59 2 2
32.6 0 53 0 1
32.7 3 64 0 0
32.8 2 54 1 0
32.9 4 57 0 1
33 3 60 0 0
33.1 3 59 1 0
33.2 2 44 2 1
33.3 5 51 3 1
33.4 0 67 0 0
33.5 0 52 1 1
33.6 4 41 1 1
33.7 4 57 3 0
33.8 3 71 0 0
33.9 3 55 5 0
34 5 71 2 1
34.1 1 60 1 0
34.2 3 44 1 0
34.3 1 25 2 0
34.4 4 40 2 0
34.5 2 43 0 0
34.6 0 43 1 0
34.7 5 60 1 0
34.8 1 49 3 0
34.9 4 45 1 1
35 4 54 0 0
35.1 2 36 2 1
35.2 2 43 1 1
35.3 2 43 2 0
35.4 6 55 4 1
35.5 1 59 3 0
35.6 3 47 0 0
35.7 2 51 1 0
35.8 4 53 2 0
35.9 1 22 0 0
36 3 46 2 0
36.1 1 45 2 1
36.2 5 40 1 0
36.3 3 54 2 0
36.4 3 39 1 1
36.5 3 45 2 0
36.6 3 74 2 0
36.7 3 59 1 0
36.8 0 38 1 0
36.9 3 78 3 1
37 2 38 1 0
37.1 4 42 0 0
37.2 2 55 0 0
37.3 4 47 4 0
37.4 2 51 1 1
37.5 2 68 1 2
37.6 0 49 1 0
37.7 1 53 2 0
37.8 0 38 0 0
37.9 2 47 1 1
38 2 34 0 1
38.1 2 48 1 0
38.2 4 43 0 0
38.3 3 41 2 0
38.4 1 51 0 0
38.5 1 48 4 0
38.6 1 28 0 0
38.7 1 50 0 0
38.8 2 51 0 0
38.9 2 36 0 0
39 1 30 3 0
39.1 0 47 4 0
39.2 5 24 2 0
39.3 4 43 0 0
39.4 1 36 4 0
39.5 4 38 2 0
39.6 3 46 2 0
39.7 1 33 0 0
39.8 2 37 0 0
39.9 0 35 0 0
40 3 61 2 0
40.1 0 32 1 0
40.2 2 43 0 1
40.3 0 20 1 0
40.4 1 45 0 0
40.5 2 37 0 1
40.6 2 27 2 0
40.7 0 39 0 0
40.8 4 49 0 0
40.9 2 40 3 0
41 2 37 0 0
41.1 4 39 1 0
41.2 2 36 0 0
41.3 3 39 0 0
41.4 0 20 0 0
41.5 2 43 1 0
41.6 0 27 1 0
41.7 1 35 0 0
41.8 1 30 0 0
41.9 2 34 0 0
42 0 34 3 0
42.1 0 41 0 0
42.2 1 33 0 0
42.3 1 36 1 0
42.4 3 26 1 0
42.5 1 18 0 0
42.6 1 29 0 0
42.7 3 35 2 0
42.8 0 21 1 0
42.9 2 24 0 0
43 2 29 0 0
43.1 1 40 0 0
43.2 1 33 1 0
43.3 0 31 1 0
43.4 1 20 0 0
43.5 0 27 2 0
43.6 1 32 0 1
43.7 4 26 0 0
43.8 1 49 0 0
43.9 1 23 0 0
44 0 28 3 0
44.1 1 49 0 0
44.2 1 42 0 0
44.3 2 34 0 0
44.4 1 31 0 0
44.5 3 24 0 0
44.6 0 39 0 0
44.7 2 27 2 0
44.8 0 25 0 0
44.9 0 30 0 0
45 1 27 0 0
45.1 0 33 0 1
45.2 1 49 2 0
45.3 2 25 0 0
45.4 1 22 0 0
45.5 1 26 1 0
45.6 0 16 0 0
45.7 0 30 0 0
45.8 0 41 1 0
45.9 3 39 0 0
46 3 17 0 0
46.1 2 24 0 0
46.2 1 22 1 0
46.3 0 28 0 0
46.4 1 28 0 0
46.5 3 21 0 0
46.6 1 26 2 0
46.7 0 30 3 1
46.8 2 22 0 0
46.9 2 24 0 0
47 3 26 1 0
47.1 0 28 1 0
47.2 4 28 0 0
47.3 5 29 0 0
47.4 0 32 0 0
47.5 2 18 0 0
47.6 1 23 0 0
47.7 1 32 0 1
47.8 1 21 0 0
47.9 1 18 2 0
48 1 25 2 1
48.1 3 20 0 0
48.2 1 30 2 0
48.3 0 19 2 0
48.4 2 22 0 0
48.5 0 19 0 0
48.6 1 13 0 0
48.7 0 18 2 0
48.8 0 14 0 0
48.9 0 22 0 0
49 1 17 1 0
49.1 1 25 2 0
49.2 1 16 1 0
49.3 3 37 7 0
49.4 2 28 0 0
49.5 1 30 1 0
49.6 1 44 3 0
49.7 0 30 0 0
49.8 2 32 0 0
49.9 0 18 1 0
50 0 12 0 0
50.1 1 25 1 0
50.2 1 34 0 0
50.3 0 20 0 0
50.4 0 16 0 0
50.5 2 35 0 0
50.6 1 12 0 0
50.7 2 18 0 0
50.8 1 28 0 0
50.9 2 14 2 0
51 1 24 2 0
51.1 0 16 0 0
51.2 0 31 0 0
51.3 2 31 0 0
51.4 0 29 0 0
51.5 3 18 0 0
51.6 1 21 2 0
51.7 1 16 0 0
51.8 2 15 0 0
51.9 2 16 0 0
52 1 31 0 0
52.1 1 9 0 0
52.2 2 20 2 0
52.3 1 28 0 0
52.4 1 22 0 1
52.5 1 13 1 0
52.6 1 27 1 0
52.7 1 18 1 0
52.8 2 22 0 0
52.9 2 20 1 0
53 0 32 0 0
53.1 0 26 0 0
53.2 1 19 0 0
53.3 0 22 0 0
53.4 1 22 0 0
53.5 0 14 0 1
53.6 0 11 0 0
53.7 1 27 0 1
53.8 0 20 0 0
53.9 2 20 0 0
54 1 15 2 0
54.1 2 17 1 0
54.2 0 20 0 0
54.3 0 9 0 0
54.4 0 19 1 0
54.5 0 29 0 0
54.6 1 24 0 1
54.7 0 34 0 0
54.8 1 16 1 0
54.9 2 25 2 0
55 1 15 2 0
55.1 1 20 1 0
55.2 1 19 1 0
55.3 1 26 0 0
55.4 1 15 0 0
55.5 0 28 0 0
55.6 2 16 1 0
55.7 1 15 0 0
55.8 1 11 0 0
55.9 2 24 1 0
56 0 23 0 0
56.1 0 30 1 0
56.2 0 15 0 0
56.3 1 12 0 0
56.4 0 16 0 0
56.5 0 23 2 0
56.6 0 14 1 0
56.7 0 23 0 0
56.8 2 13 1 1
56.9 2 25 1 0
57 0 19 0 1
57.1 1 25 0 0
57.2 0 8 0 0
57.3 0 20 0 0
57.4 1 11 0 0
57.5 0 17 0 0
57.6 0 14 0 0
57.7 3 13 0 0
57.8 0 21 0 0
57.9 2 23 0 0
58 0 23 0 0
58.1 1 19 0 0
58.2 1 17 1 0
58.3 0 23 0 0
58.4 1 26 1 0
58.5 1 25 0 1
58.6 1 15 2 0
58.7 0 16 0 0
58.8 0 21 0 0
58.9 0 24 0 0
59 2 23 1 0
59.1 1 22 0 0
59.2 0 32 0 0
59.3 0 18 0 0
59.4 0 24 0 0
59.5 0 18 0 0
59.6 0 18 0 0
59.7 0 21 0 0
59.8 1 13 0 0
59.9 0 15 0 0
60 0 23 0 0
60.1 2 15 0 0
60.2 1 14 0 0
60.3 1 29 1 0
60.4 1 24 2 0
60.5 0 26 1 0
60.6 1 11 0 0
60.7 2 13 0 0
60.8 0 18 2 0
60.9 0 11 0 0
61 1 12 0 1
61.1 1 20 1 1
61.2 0 18 0 0
61.3 1 16 0 0
61.4 0 7 1 0
61.5 1 14 0 0
61.6 0 27 0 0
61.7 1 8 0 0
61.8 0 22 0 0
61.9 0 13 1 0
62 2 10 0 0
62.1 0 16 0 0
62.2 0 15 0 0
62.3 1 12 0 0
62.4 1 16 0 0
62.5 0 16 0 0
62.6 0 18 0 0
62.7 0 18 0 0
62.8 1 21 1 0
62.9 1 15 1 0
63 1 9 1 0
63.1 0 12 0 0
63.2 1 13 0 0
63.3 0 18 0 0
63.4 0 13 0 0
63.5 0 21 0 0
63.6 0 10 0 0
63.7 0 15 0 0
63.8 0 19 0 0
63.9 0 10 0 0
64 0 11 0 0
64.1 0 23 0 0
64.2 0 17 0 0
64.3 1 15 1 0
64.4 0 12 0 0
64.5 1 12 0 0
64.6 1 12 0 0
64.7 1 14 1 0
64.8 0 14 0 1
64.9 1 14 0 0
65 1 15 1 0
65.1 0 20 0 0
65.2 0 25 1 0
65.3 0 7 0 0
65.4 0 10 0 0
65.5 0 23 0 0
65.6 1 8 0 0
65.7 1 16 0 0
65.8 1 23 0 0
65.9 0 8 0 0
66 0 19 1 0
66.1 0 21 0 0
66.2 0 12 0 0
66.3 0 18 0 0
66.4 0 11 0 0
66.5 2 14 0 0
66.6 3 8 0 0
66.7 0 7 0 0
66.8 0 2 1 1
66.9 1 12 0 0
67 0 21 1 0
67.1 1 13 0 0
67.2 0 21 0 0
67.3 1 16 0 0
67.4 2 8 0 0
67.5 0 9 0 0
67.6 0 10 2 0
67.7 0 16 0 0
67.8 0 12 0 1
67.9 1 21 0 0
68 0 9 0 0
68.1 0 11 0 0
68.2 2 11 0 0
68.3 0 19 0 1
68.4 1 10 1 1
68.5 0 6 1 0
68.6 0 11 0 0
68.7 0 15 0 0
68.8 1 19 0 0
68.9 0 13 0 0
69 1 11 1 0
69.1 1 20 0 0
69.2 0 7 0 0
69.3 3 22 1 0
69.4 2 11 0 0
69.5 0 10 1 0
69.6 0 15 0 0
69.7 0 7 1 0
69.8 0 18 0 0
69.9 0 16 0 0
70 0 11 0 1
70.1 0 16 0 0
70.2 1 21 1 0
70.3 0 7 0 0
70.4 1 11 0 0
70.5 0 19 0 0
70.6 0 8 0 0
70.7 2 21 0 0
70.8 0 14 1 0
70.9 0 7 0 0
71 0 18 0 0
71.1 0 8 0 0
71.2 0 11 1 0
71.3 0 17 0 0
71.4 0 15 0 0
71.5 1 4 0 0
71.6 2 12 0 0
71.7 2 13 0 0
71.8 0 15 0 0
71.9 1 13 1 0
72 0 18 0 0
72.1 0 10 0 0
72.2 0 26 0 0
72.3 0 10 0 1
72.4 0 14 0 0
72.5 0 18 0 0
72.6 0 15 0 0
72.7 0 16 0 0
72.8 0 12 0 0
72.9 0 8 0 0
73 1 13 1 0
73.1 2 11 0 0
73.2 1 14 0 0
73.3 0 17 0 0
73.4 1 11 0 0
73.5 1 19 0 0
73.6 0 11 0 0
73.7 1 16 1 0
73.8 0 13 0 0
73.9 1 21 0 0
74 0 6 1 0
74.1 0 11 0 0
74.2 0 9 0 0
74.3 0 8 0 0
74.4 0 14 0 0
74.5 0 13 0 0
74.6 1 12 1 0
74.7 0 11 0 0
74.8 0 10 0 0
74.9 1 8 1 0
75 1 9 0 0
75.1 0 11 0 0
75.2 0 9 1 0
75.3 1 6 0 0
75.4 2 7 0 0
75.5 0 4 0 0
75.6 1 8 0 0
75.7 0 12 0 0
75.8 0 11 0 0
75.9 0 11 0 0
76 0 13 0 0
76.1 0 9 0 0
76.2 0 15 0 0
76.3 1 13 0 0
76.4 0 9 0 0
76.5 0 7 0 0
76.6 0 4 0 0
76.7 0 10 1 0
76.8 0 12 0 1
76.9 1 19 0 0
77 0 23 0 0
77.1 0 8 0 0
77.2 0 4 0 0
77.3 0 7 0 0
77.4 0 13 0 0
77.5 0 5 0 0
77.6 0 1 0 0
77.7 1 9 0 0
77.8 1 11 0 0
77.9 0 10 0 0
78 1 9 0 0
78.1 0 13 1 0
78.2 0 12 2 0
78.3 0 10 1 0
78.4 0 7 1 0
78.5 0 7 0 0
78.6 0 5 0 0
78.7 0 11 0 0
78.8 0 9 0 0
78.9 0 9 1 0
79 2 3 0 0
79.1 0 13 1 0
79.2 0 7 0 0
79.3 0 10 1 0
79.4 0 3 0 0
79.5 2 10 0 0
79.6 2 9 0 0
79.7 1 9 0 0
79.8 0 21 0 0
79.9 0 3 0 0
80 0 9 0 0
80.1 0 10 0 0
80.2 1 11 0 0
80.3 0 6 1 0
80.4 0 9 0 0
80.5 0 10 0 0
80.6 0 5 0 0
80.7 0 4 0 0
80.8 0 12 0 0
80.9 0 5 0 0
81 0 7 0 0
81.1 1 17 2 0
81.2 0 10 0 0
81.3 0 11 0 0
81.4 0 7 0 0
81.5 0 12 1 0
81.6 1 7 0 0
81.7 1 20 2 0
81.8 1 14 0 0
81.9 1 10 0 0
82 1 9 0 0
