tracks validTracks seeds n time timeVar eff fr cr
1 1 1 10 0.0563 520.562 1 0 0
2 2 2 10 0.0632 0.00180884 1 0 0
4 4 2 10 0.0724 0.000893822 0.5 0 0
8 7 5 10 0.0994 0.00110982 0.571429 0 0.2
16 13 10 10 0.1427 0.00220046 0.615385 0.1 0.1
256 231 221 10 2.9155 0.00759494 0.709957 0.108597 0.149321
4096 3709 58834 10 1414.74 107.441 0.682664 0.94855 0.0084135
32 29 24 10 0.2922 0.0020444 0.689655 0 0.166667
512 482 596 10 12.0277 0.0720087 0.728216 0.293624 0.11745
64 56 52 10 0.5088 0.00255396 0.696429 0.134615 0.115385
1024 925 1907 10 44.3278 0.080026 0.688649 0.602517 0.0634504
128 118 110 10 1.1716 0.00314671 0.737288 0.0363636 0.172727
2048 1848 8870 10 240.346 4.49537 0.666667 0.833935 0.0271702
