events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 32 90 0 19 0.253516 0.00289533 1.84525e+06 0 0.46546 0.197502 1.9751e+06 0 7.1808 1.39641 23.6759 1.74403 0.41117 0.00382054 177.906 8.70637 31.2679 3.14426 0.340559 0.00336748 0.134748 0.0442206 0.0266708 0.00643146 165.715 5.5162 0.501978 0.0540195 0.0439888 0.00944142 0.0185286 0.00382751 0.0413476 0.0115 145.74 6.34114 0.103865 0.0247689 0.030687 0.00564239 0.0153635 0.00779397 0.0153791 0.00369312 147.227 4.6846 0.0614296 0.0171295 7.59603 1.39645 23.8446 1.74461 0.494568 0.0142073 636.588 12.9763 31.9352 3.15527
30 3 1 32 180 60 19 0.509701 0.00639849 3.69375e+06 0 0.913825 0.393588 3.85725e+06 0 8.41999 1.71718 24.5707 1.56236 0.414804 0.00225167 179.842 4.47035 33.4055 3.28178 0.337656 0.00204258 0.094046 0.04319 0.0194724 0.00703001 167.358 5.982 0.451175 0.0522625 0.0534919 0.0161024 0.0258209 0.00472798 0.0632407 0.00871398 145.769 7.60339 0.142554 0.0295444 0.0361653 0.0126731 0.0140396 0.000331485 0.0192844 0.000720351 144.212 5.46483 0.0694893 0.013725 8.8473 1.7173 24.7046 1.56296 0.516802 0.0114431 637.182 11.9768 34.0687 3.2917
30 3 1 32 360 120 19 0.765501 0.00956947 5.54848e+06 0 1.23603 0.438736 5.7447e+06 0 6.99378 1.35432 22.6842 1.53882 0.426106 0.00284346 178.735 4.53381 30.1041 2.89599 0.331726 0.00416226 0.150013 0.0445765 0.0288691 0.00737489 167.874 5.82179 0.510608 0.0561137 0.0841568 0.024769 0.0435329 0.0163689 0.0944519 0.0300085 144.964 5.02435 0.222142 0.0711464 0.0675065 0.0184548 0.0135637 0.00306245 0.0165751 0.00425559 147.926 3.99146 0.0976453 0.0257728 7.47716 1.35468 22.8913 1.53956 0.566002 0.0313224 639.499 9.77878 30.9345 2.92556
30 3 1 32 540 150 19 1.02082 0.0121551 7.40946e+06 0 1.66407 0.607243 7.6377e+06 0 8.59737 1.21634 23.9872 1.34896 0.43404 0.00202394 182.146 6.07461 33.0186 2.56732 0.405441 0.14884 0.079688 0.0306548 0.0305003 0.0110987 170.124 8.43001 0.515629 0.190593 0.146512 0.0413799 0.0510885 0.0250841 0.112355 0.0426572 149.585 5.90749 0.309955 0.109121 0.097533 0.0217026 0.0147965 0.00321991 0.0198341 0.0045585 147.43 6.33148 0.132164 0.029481 9.24685 1.2263 24.1328 1.34954 0.596729 0.0443587 649.285 13.526 33.9764 2.6202
30 3 1 32 1290 270 19 1.28391 0.0176211 9.29564e+06 0 2.0997 0.780365 9.55406e+06 0 7.14348 1.3446 24.1655 1.37828 0.47258 0.00330775 179.344 7.42079 31.7816 2.72619 0.371587 0.00433615 0.121187 0.0404703 0.0587001 0.0185143 167.533 6.44529 0.551475 0.0633207 0.400271 0.118275 0.119058 0.027618 0.466165 0.0808141 147.415 5.51818 0.985494 0.226707 0.216091 0.0365355 0.0179163 0.0020799 0.0291943 0.0096341 146.603 5.65388 0.263202 0.0482495 8.13143 1.3503 24.4237 1.37915 1.02664 0.0835311 640.895 12.6106 33.5817 2.81298
30 3 1 32 21060 5880 19 1.62162 0.0189294 1.18722e+07 0 2.74865 1.00995 1.2606e+07 0 8.57993 1.31497 24.0443 1.40102 1.3024 0.0163409 184.409 4.51271 33.9267 2.73232 1.63949 0.00217064 0.114144 0.043905 6.69608 1.5537 177.477 3.86928 8.44971 1.59978 28.8923 1.13876 7.54577 1.25 20.7979 0.0342195 208.152 4.99859 57.2359 2.42299 9.14991 1.3393 0.109 0.0562511 0.335882 0.107275 160.051 4.48131 9.59479 1.50282 48.2616 2.19537 31.8132 1.87895 29.1322 1.55786 730.089 8.96682 109.207 5.63218
30 3 1 32 326100 94200 19 6.45293 0.0260828 4.44476e+07 0 62.8066 3.10319 2.40303e+08 0 12.0747 1.5585 22.7281 1.7129 15.7078 0.476628 200.677 6.39883 50.5106 3.74803 265.554 0.0847673 0.0821092 0.0346889 1069.29 6.46351 1559.9 6.78795 1334.92 6.58297 33846.9 15.26 1224.68 2.97981 31693.7 95.0981 67057.6 92.413 66765.3 113.338 30108.7 6.46169 236.817 1.744 385.756 0.234275 30948.6 9.6995 30731.2 8.43997 64233.2 16.645 1484.3 3.85435 33164.4 95.319 99766.8 93.3877 98881.9 115.818
30 3 1 32 2580 780 19 6.71573 0.027047 4.63813e+07 0 63.1067 3.10541 2.42265e+08 0 8.21314 1.78832 23.5003 1.57508 0.536592 0.00770099 179.273 5.55295 32.25 3.3711 0.432646 0.00398272 0.126998 0.0515113 0.13878 0.0617839 168.085 6.03577 0.698425 0.117278 1.58607 0.0161077 0.319198 0.087509 1.49974 0.238236 150.302 5.27242 3.40501 0.341853 0.531676 0.0444066 0.0282051 0.00697356 0.0415376 0.0113811 146.662 6.202 0.601419 0.0627612 10.7635 1.78895 23.9747 1.57837 2.21665 0.246501 644.321 11.5555 36.9549 3.61382
30 3 1 32 43950 13200 19 7.16822 0.0458576 4.98274e+07 0 64.3869 3.19204 2.48782e+08 0 7.36032 1.61377 24.5988 1.36144 2.34973 0.0235367 182.777 8.4982 34.3089 2.99874 6.30049 0.00997187 0.138768 0.0392466 22.232 1.7443 199.07 4.48508 28.6713 1.79352 198.681 1.08212 27.896 1.69785 162.841 0.199961 541.816 4.79962 389.418 2.97994 86.2073 2.23881 1.99288 0.106842 3.70009 0.877091 244.199 4.65779 91.9003 3.22274 298.549 2.96439 54.6265 2.17926 191.123 1.96276 1167.86 11.7075 544.298 7.1064
30 3 1 32 5520 1470 19 7.43783 0.0449964 5.18602e+07 0 64.7033 3.19325 2.50866e+08 0 7.09797 1.88034 23.8782 1.7109 0.660503 0.00688154 179.473 9.18327 31.6366 3.59812 0.571684 0.00584252 0.125236 0.0494521 0.614375 0.238091 169.476 6.02406 1.3113 0.293385 5.34164 0.808027 1.10825 0.344949 4.264 1.30789 159.146 7.22615 10.7139 2.46087 1.06338 0.418934 0.049072 0.0150875 0.0662591 0.0290384 151.153 4.73471 1.17871 0.46306 14.0747 2.08905 25.1607 1.74609 5.60514 1.32972 659.248 13.9734 44.8405 5.16486
