events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 256 90 0 19 0.353707 0.00638325 1.84525e+06 0 0.472904 0.0111394 1.97634e+06 0 0.0693501 0.0121743 0.346496 0.0469146 0.194629 0.0086947 28.0064 2.41481 0.610475 0.0677836 0.061466 0.00143165 0.0666779 0.0053335 0.0216784 0.0130458 54.5137 2.64931 0.149822 0.0198109 0.0536068 0.0831989 0.0160577 0.00856649 0.027132 0.00970586 23.9005 1.55782 0.0967965 0.101471 0.154541 0.107169 0.0138735 0.00854693 0.0371234 0.0137431 24.9112 1.48846 0.205538 0.129459 0.338964 0.136226 0.443105 0.0487428 0.280563 0.0229971 131.332 4.1824 1.06263 0.207966
30 3 1 256 180 60 19 0.700718 0.0141343 3.69375e+06 0 0.915049 0.0114096 3.85974e+06 0 0.0676028 0.00785794 0.329437 0.00982658 0.195202 0.00890873 25.6917 1.43567 0.592241 0.0265932 0.0633179 0.00130341 0.0669125 0.00142208 0.019233 0.000646102 52.9142 3.05065 0.149463 0.0033716 0.0237775 0.00897458 0.0167723 0.00836961 0.0299764 0.0107231 24.3706 1.75577 0.0705262 0.0280673 0.130162 0.0912055 0.0145856 0.00851828 0.0480357 0.0150977 25.0713 1.54019 0.192783 0.114822 0.28486 0.0919915 0.427707 0.0155305 0.292447 0.0205599 128.048 4.10153 1.00501 0.128082
30 3 1 256 360 120 19 1.05409 0.0207121 5.54788e+06 0 1.35908 0.0113805 5.7483e+06 0 0.0675986 0.00963997 0.325762 0.0135273 0.19671 0.0087812 26.4932 1.0057 0.590071 0.0319485 0.0677218 0.00108773 0.0681569 0.00652257 0.02049 0.000951946 56.1771 1.96491 0.156369 0.00856224 0.0939928 0.105772 0.0174961 0.00860685 0.0535452 0.0629046 23.015 0.952065 0.165034 0.177283 0.131208 0.091911 0.0145336 0.00839638 0.0613426 0.0161732 25.2463 1.59475 0.207085 0.116481 0.360522 0.140461 0.425949 0.0192382 0.332088 0.0655483 130.932 2.88478 1.11856 0.225248
30 3 1 256 540 150 19 1.40514 0.0250477 7.40886e+06 0 1.80289 0.0113113 7.6424e+06 0 0.0641274 0.0103069 0.329924 0.0195536 0.202582 0.00830106 25.3267 1.60843 0.596634 0.0381615 0.0706708 0.00853491 0.067325 0.000740308 0.0199605 0.000532565 53.8062 1.9924 0.157956 0.00980778 0.0827624 0.0787159 0.0181989 0.00862793 0.0358095 0.0107896 23.2459 1.59907 0.136771 0.0981334 0.0952825 0.0765522 0.0182604 0.00976441 0.0926346 0.0110037 25.2268 1.44563 0.206177 0.0973203 0.312843 0.110614 0.433709 0.023509 0.350986 0.0175125 127.606 3.34718 1.09754 0.151636
30 3 1 256 1290 270 19 1.77829 0.0368509 9.29504e+06 0 2.25122 0.0103133 9.55888e+06 0 0.0683929 0.00924139 0.329985 0.00673339 0.213457 0.00874335 25.8623 1.07864 0.611835 0.0247181 0.0932714 0.0608115 0.0609171 0.00667106 0.0215583 0.000395115 54.1573 1.7783 0.175747 0.0678777 0.0310678 0.00682681 0.0238556 0.00973061 0.0408988 0.0083146 23.2405 1.29608 0.0958222 0.024872 0.0583477 0.00744442 0.0266386 0.0102917 0.126511 0.00560602 25.0468 1.48978 0.211497 0.0233422 0.25108 0.0623335 0.441397 0.0170425 0.402425 0.0133102 128.307 2.86794 1.0949 0.0926862
30 3 1 256 21060 5880 19 2.31755 0.0511401 1.18698e+07 0 2.86927 0.00982386 1.23422e+07 0 0.0744702 0.0122546 0.337294 0.0107106 0.247649 0.0097114 27.4366 2.42613 0.659413 0.0326766 0.23671 0.00356513 0.0651401 0.00390804 0.0763533 0.00136052 54.7776 1.54323 0.378204 0.00883369 0.0741627 0.00911906 0.0887792 0.00574214 0.0958365 0.00514333 23.8986 1.72973 0.258778 0.0200045 0.0703346 0.00330703 0.0162977 0.00803678 0.218464 0.00553411 25.9597 1.30642 0.305097 0.0168779 0.455678 0.0160306 0.507511 0.0150848 0.638303 0.0123791 132.072 3.60089 1.60149 0.0434945
30 3 1 256 326100 94200 19 7.70438 0.156834 3.67484e+07 0 30.8322 0.0738699 1.05776e+08 0 0.292638 0.0105434 0.345675 0.026402 2.2732 0.0279896 38.5616 3.02744 2.91152 0.064935 24.848 0.400349 0.068518 0.000706694 25.2892 0.270883 169.477 1.8262 50.2057 0.671939 71.9495 1.12335 3.60654 0.0486414 64.1465 1.03434 208.11 3.21483 139.703 2.20634 14.7215 0.403863 0.197639 0.00435749 3.51923 0.0190897 70.9146 2.61007 18.4384 0.42731 111.812 1.25913 4.21838 0.0555206 95.2282 1.06976 487.063 5.445 211.258 2.38442
30 3 1 256 2580 780 19 8.0735 0.161683 3.86815e+07 0 31.2968 0.0742884 1.07734e+08 0 0.0710694 0.00932412 0.336495 0.0516544 0.210584 0.00408413 26.4819 1.81737 0.618148 0.0650627 0.0889332 0.00474291 0.0666587 0.00385567 0.0248007 0.000495715 53.3008 2.20901 0.180393 0.00909429 0.0186524 0.00674846 0.0746608 0.00299627 0.0214272 0.0071425 24.3226 1.44426 0.11474 0.0168872 0.251656 0.108866 0.00878098 0.000214856 0.216922 0.00587415 26.042 1.55122 0.477359 0.114955 0.430311 0.109576 0.486596 0.0518852 0.473734 0.0101216 130.147 3.56016 1.39064 0.171583
30 3 1 256 43950 13200 19 8.81231 0.165452 4.2097e+07 0 32.2622 0.0739822 1.12455e+08 0 0.0920871 0.0111526 0.331532 0.0108033 0.361612 0.0071616 27.5544 1.8411 0.785231 0.0291175 0.708715 0.0167298 0.0704526 0.0124416 0.344333 0.00675592 55.6351 2.00614 1.1235 0.0359273 0.499881 0.0130902 0.137712 0.00969176 0.452865 0.0597031 26.5975 1.98643 1.09046 0.0824851 0.303592 0.1116 0.0759027 0.00118469 0.150276 0.0102904 27.942 1.45709 0.529771 0.123075 1.60428 0.11415 0.6156 0.019153 1.30909 0.0613782 137.729 3.67196 3.52896 0.194681
30 3 1 256 5520 1470 19 9.20912 0.178343 4.41298e+07 0 32.73 0.0755949 1.14518e+08 0 0.0708561 0.0100845 0.317179 0.0176133 0.214701 0.00399355 26.808 1.38086 0.602736 0.0316914 0.11856 0.00265948 0.0673967 0.00148806 0.0298528 0.000636212 54.2204 1.552 0.215809 0.00478375 0.0710558 0.0632352 0.0783826 0.00774894 0.057987 0.0837741 23.984 1.42774 0.207425 0.154758 0.181289 0.111746 0.00962384 0.000369566 0.236726 0.00360424 26.0028 1.49212 0.427639 0.11572 0.441761 0.12882 0.472582 0.0193035 0.539267 0.0839491 131.015 2.92922 1.45361 0.232073
