events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 32 90 0 19 0.133154 0.00201122 978372 0 0.255861 0.0962278 1.09446e+06 0 5.38674 0.871387 14.6469 1.50712 0.511873 0.00399457 163.479 6.91721 20.5456 2.3825 0.194717 0.00287335 0.114329 0.0430918 0.0244059 0.0121069 156.038 4.55167 0.333452 0.058072 0.0410488 0.00228033 0.0188608 0.00399632 0.0345744 0.00801359 141.915 6.33676 0.094484 0.0142902 0.0338518 0.00458277 0.0121417 0.00181806 0.0194372 0.00925604 141.975 6.99829 0.0654307 0.0156569 5.65635 0.871407 14.7923 1.50774 0.59029 0.0176756 603.408 12.5577 21.0389 2.39682
30 3 1 32 180 60 19 0.268194 0.00372896 1.95999e+06 0 0.455718 0.132808 2.09596e+06 0 4.99559 0.905468 15.3395 1.78418 0.512432 0.00300496 164.402 4.4576 20.8475 2.69265 0.192621 0.00294494 0.115103 0.0410709 0.0257639 0.00763521 154.043 4.57324 0.333488 0.0516511 0.0450163 0.0140619 0.0241545 0.00443832 0.0567331 0.0112547 141.813 6.22604 0.125904 0.0297549 0.0477507 0.00703423 0.0121513 0.00224463 0.0174477 0.00424967 143.719 7.054 0.0773496 0.0135285 5.28097 0.90561 15.4909 1.78466 0.612377 0.0145621 603.978 11.3713 21.3842 2.70483
30 3 1 32 360 120 19 0.404192 0.0045967 2.94784e+06 0 0.610018 0.131695 3.10301e+06 0 5.0566 1.00964 13.9376 1.48371 0.519722 0.00319571 163.527 4.18591 19.5139 2.49654 0.186848 0.00277755 0.132367 0.0420456 0.0287223 0.00884627 156.439 4.14276 0.347937 0.0536694 0.118539 0.036432 0.0550807 0.0079124 0.14584 0.0250189 143.437 5.52681 0.31946 0.0693633 0.0805763 0.0149913 0.0161422 0.00167739 0.022776 0.00832524 145.826 4.47125 0.119495 0.0249939 5.44256 1.01041 14.1412 1.48432 0.71706 0.0279951 609.229 9.23158 20.3008 2.52273
30 3 1 32 540 150 19 0.540457 0.00619461 3.94194e+06 0 0.764163 0.130144 4.11536e+06 0 5.32722 0.774862 14.7592 1.98877 0.527912 0.00589369 166.452 4.95165 20.6143 2.76952 0.202884 0.00274144 0.0907752 0.0424071 0.0245125 0.00919575 156.114 7.09937 0.318172 0.0543443 0.15146 0.0433861 0.050814 0.0194206 0.133506 0.0459054 146.089 2.58916 0.335781 0.108712 0.07052 0.0297203 0.0161016 0.00882673 0.0205802 0.00994972 144.274 4.94645 0.107202 0.0484967 5.75209 0.776649 14.9169 1.98933 0.706511 0.0482245 612.928 10.3 21.3755 2.81421
30 3 1 32 1290 270 19 0.679598 0.00586711 4.96124e+06 0 0.9552 0.169627 5.15242e+06 0 4.81834 1.10962 14.3688 0.969616 0.562633 0.00199916 167.023 3.80913 19.7497 2.08124 0.227474 0.00277411 0.083046 0.0392728 0.0451255 0.0186716 156.187 6.90281 0.355646 0.0607185 0.621235 0.158209 0.1495 0.0422564 0.615245 0.172848 146.169 4.40121 1.38598 0.373314 0.208936 0.0359889 0.0172986 0.00299178 0.0261876 0.00510987 145.991 5.36868 0.252422 0.0440905 5.87599 1.12143 14.6186 0.971336 1.24919 0.17394 615.369 10.5048 21.7438 2.2667
30 3 1 32 21060 5880 19 0.894162 0.0115039 6.67089e+06 0 1.58035 0.46745 7.57978e+06 0 4.9878 1.25469 15.0115 1.22555 1.37671 0.0315184 169.363 7.25204 21.376 2.51176 2.00754 0.0029805 0.0950423 0.0408109 8.17006 1.28178 169.44 4.49218 10.2726 1.32557 49.0333 1.12169 9.77844 1.44 34.7067 0.135086 243.001 4.89531 93.5185 2.69678 11.7942 1.238 0.156336 0.0613877 0.491343 0.131418 158.527 5.34625 12.4419 1.43081 67.8229 2.08928 25.0413 1.89236 44.7449 1.29595 740.331 11.1946 137.609 5.27758
30 3 1 32 326100 94200 19 6.24543 0.183256 3.84077e+07 0 94.6212 1.17097 3.52366e+08 0 11.044 1.48046 13.5687 1.59182 13.8572 0.73918 186.784 4.88101 38.4698 3.81146 455.781 0.0759113 0.0830537 0.0428493 1094.29 6.38562 1762.79 10.2641 1550.15 6.50438 86177.5 24.0927 2064.56 3.32878 76389.3 249.396 165015 236.056 164631 276.818 49656.9 9.39213 387.186 1.46853 602.023 4.03982 50902.9 12.8411 50646.1 14.9005 136301 25.9011 2465.4 3.97153 78099.5 249.512 217868 236.678 216866 279.384
30 3 1 32 2580 780 19 6.38901 0.182847 3.94745e+07 0 94.7859 1.16944 3.53454e+08 0 6.05335 0.895962 15.211 1.68031 0.622853 0.00387733 169.704 5.21265 21.8872 2.58015 0.292183 0.00404704 0.118327 0.0497056 0.162533 0.0680192 155.638 5.83024 0.573043 0.121772 2.39072 0.331808 0.398174 0.166094 2.0146 0.437275 152.729 4.18938 4.8035 0.935177 0.550171 0.158576 0.0343863 0.00693828 0.0483541 0.0104824 145.771 5.34454 0.632911 0.175997 9.28643 0.968508 15.7619 1.68925 2.84835 0.442675 623.842 10.3575 27.8967 3.10043
30 3 1 32 43950 13200 19 6.68661 0.183456 4.20537e+07 0 96.2268 1.27612 3.6084e+08 0 6.15303 1.12783 15.1052 1.83689 2.34064 0.0181091 172.311 6.5815 23.5989 2.98283 9.75603 0.00492271 0.107311 0.0433652 21.6667 1.55864 190.675 5.10438 31.53 1.60693 407.935 0.768154 43.0516 1.37996 296.836 0.392569 903.161 4.03555 747.823 2.54069 132.037 1.59456 3.14916 0.0436012 4.64975 0.939265 288.386 3.8009 139.836 2.57742 555.882 2.09873 61.4132 2.29831 325.493 1.86173 1554.53 10.0052 942.788 6.25877
30 3 1 32 5520 1470 19 6.84145 0.183328 4.32196e+07 0 96.4155 1.27641 3.62071e+08 0 5.70377 1.00109 13.6421 1.42341 0.746683 0.0101026 166.188 5.53057 20.0925 2.4346 0.477409 0.00401253 0.12222 0.0436367 0.622547 0.251698 162.163 3.84699 1.22218 0.299347 6.23089 1.05977 1.75745 0.361121 6.43145 1.34475 160.641 4.14766 14.4198 2.76564 1.82148 0.279917 0.063586 0.00924209 0.0972714 0.0103814 148.342 4.63033 1.98234 0.29954 14.2336 1.48447 15.5853 1.46918 7.89795 1.36818 637.334 9.16677 37.7168 4.32182
