events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 256 90 0 19 0.177217 0.000312751 978372 0 0.222817 0.000503181 1.10776e+06 0 0.0724909 0.0597273 0.196383 0.00861452 0.0725296 0.00818246 27.2096 2.10021 0.341404 0.0765242 0.039865 0.0010361 0.0650462 0.00484659 0.0490467 0.0826653 49.2885 18.419 0.153958 0.088548 0.0819904 0.0964295 0.0222456 0.0106768 0.0294845 0.00981063 23.8631 1.66525 0.13372 0.116917 0.20246 0.0969888 0.0137188 0.00830201 0.0362491 0.0133912 24.8769 1.27654 0.252428 0.118682 0.396807 0.149244 0.297394 0.0167516 0.18731 0.0847117 125.238 18.6568 0.88151 0.250708
30 3 1 256 180 60 19 0.356664 0.000686122 1.95999e+06 0 0.420102 0.00057213 2.12258e+06 0 0.0454968 0.00932765 0.221493 0.0528029 0.0731267 0.00826247 25.282 1.50536 0.340117 0.070393 0.0404892 0.00084382 0.0698225 0.0129576 0.0175393 0.00283858 38.7216 1.24717 0.127851 0.01664 0.0695735 0.0978357 0.0161829 0.00826033 0.0292993 0.0102632 23.8831 1.59775 0.115056 0.116359 0.180565 0.0974416 0.0146855 0.00875556 0.0461102 0.0149663 25.1602 1.55516 0.241361 0.121163 0.336125 0.138399 0.322184 0.055686 0.166075 0.0201407 113.047 2.96528 0.824384 0.214226
30 3 1 256 360 120 19 0.537182 0.000706266 2.94784e+06 0 0.617871 0.000658006 3.14292e+06 0 0.0466046 0.0103409 0.196499 0.00971675 0.0751008 0.00834725 25.0695 1.081 0.318204 0.0284049 0.041807 0.000494046 0.0647998 0.00503901 0.0192933 0.000718684 38.9472 4.28161 0.1259 0.00625174 0.0558791 0.0812829 0.0175805 0.00831281 0.0353852 0.0106482 23.5541 1.28916 0.108845 0.100244 0.111735 0.0872009 0.016263 0.0095333 0.0653792 0.0153435 24.7421 1.3853 0.193378 0.112078 0.256026 0.119658 0.295142 0.016727 0.195158 0.0204695 112.313 4.80435 0.746326 0.156855
30 3 1 256 540 150 19 0.719932 0.000836771 3.94194e+06 0 0.816061 0.000704138 4.16857e+06 0 0.0536477 0.0160399 0.196563 0.00616124 0.0767213 0.0085172 25.256 1.21749 0.326932 0.0307183 0.0420549 0.000689412 0.0664218 0.000619645 0.0197288 0.000257324 42.6733 2.89266 0.128206 0.00156638 0.0463839 0.0578726 0.0223646 0.0102962 0.060971 0.0616886 23.6049 1.83703 0.12972 0.129857 0.0668022 0.0590539 0.025971 0.0100685 0.0927913 0.00959873 25.0051 2.08161 0.185564 0.0787211 0.208889 0.084228 0.31132 0.0156759 0.250212 0.0630097 116.539 4.19017 0.770421 0.162914
30 3 1 256 1290 270 19 0.913957 0.00519358 4.96124e+06 0 1.01769 0.00125231 5.21888e+06 0 0.0521914 0.00615896 0.199059 0.00764138 0.0891972 0.00957657 25.5147 1.40902 0.340448 0.0233769 0.0461572 0.000387139 0.0660847 0.00387352 0.0211754 0.000405946 38.0664 4.34077 0.133417 0.0046666 0.0344172 0.00559653 0.0796537 0.0225874 0.0445855 0.00627193 23.8916 1.52925 0.158656 0.0344558 0.0691756 0.0560458 0.0278542 0.00926735 0.130342 0.0138222 24.9041 1.47173 0.227372 0.0791353 0.201941 0.0566615 0.372652 0.0258741 0.2853 0.0179518 112.377 5.03312 0.859893 0.100487
30 3 1 256 21060 5880 19 1.28213 0.0172659 6.67089e+06 0 1.48227 0.00152135 7.65081e+06 0 0.0528577 0.0106272 0.201806 0.00866729 0.108123 0.0100168 25.8089 1.26494 0.362787 0.0293113 0.0987005 0.00399958 0.0677729 0.00672809 0.0950461 0.00523122 41.3633 2.35437 0.26152 0.0159589 0.361156 0.0169002 0.12544 0.00822525 0.301404 0.00743759 26.0433 2.45748 0.788 0.032563 0.118098 0.0233394 0.0825111 0.0116476 0.118051 0.00901129 25.3557 1.75748 0.31866 0.0439983 0.630812 0.0309722 0.47753 0.0179919 0.622624 0.016255 118.571 4.03374 1.73097 0.0652191
30 3 1 256 326100 94200 19 9.40627 0.310305 3.84089e+07 0 108.223 0.30396 3.49051e+08 0 0.17284 0.00933579 0.202667 0.0115136 1.17716 0.0171498 34.7163 2.00999 1.55267 0.0379992 21.219 0.144523 0.0680997 0.00112108 72.4125 0.254656 202.125 1.9513 93.6996 0.4003 1150.56 5.6255 21.8601 0.00143251 1111.31 0.723237 2691.12 16.6546 2283.73 6.35017 266.489 0.0501077 4.11428 0.00164438 7.96856 0.00476949 439.731 2.08827 278.572 0.0565215 1438.44 5.62758 26.2451 0.0117718 1192.87 0.766967 3367.69 17.0171 2657.55 6.40632
30 3 1 256 2580 780 19 9.60897 0.311599 3.94757e+07 0 108.429 0.303909 3.50152e+08 0 0.053729 0.00595172 0.195055 0.00657924 0.0826489 0.00792306 27.9418 3.02388 0.331432 0.020454 0.0478598 0.00139721 0.0702532 0.00471773 0.0257405 0.00115236 42.1365 2.25586 0.143854 0.0072673 0.0623162 0.0825322 0.0996049 0.0519561 0.025127 0.00940047 24.217 1.40842 0.187048 0.143889 0.235046 0.103362 0.0134271 0.00783312 0.186287 0.00486363 25.2823 1.63411 0.434759 0.116059 0.398951 0.132411 0.37834 0.0531633 0.319803 0.0132713 119.578 4.34588 1.09709 0.198846
30 3 1 256 43950 13200 19 10.1831 0.338006 4.20549e+07 0 110.5 0.307653 3.57494e+08 0 0.0642083 0.00964581 0.200333 0.00839346 0.156658 0.00303419 26.5894 1.53737 0.421199 0.0210735 0.340721 0.00850228 0.0630823 0.00919064 0.857077 0.0258208 44.5451 2.91612 1.26088 0.0435137 4.62185 0.127851 0.495146 0.008261 3.62155 0.107018 36.5364 2.832 8.73855 0.24313 0.869834 0.0261251 0.0848122 0.00341242 0.131477 0.0116601 28.1623 1.33741 1.08612 0.0411975 5.89662 0.131125 0.843374 0.0153234 4.76676 0.110746 135.833 4.54711 11.5068 0.257194
30 3 1 256 5520 1470 19 10.4095 0.343309 4.32208e+07 0 110.724 0.307695 3.58738e+08 0 0.0743661 0.0642634 0.201396 0.0233663 0.0798514 0.00161078 25.2841 1.23248 0.355613 0.0892405 0.0571459 0.00122475 0.0737553 0.0125577 0.0321094 0.000405513 41.2424 2.89978 0.163011 0.014188 0.146391 0.0913522 0.07233 0.0117751 0.073199 0.0608827 23.5631 1.69538 0.29192 0.16401 0.115025 0.0797189 0.0123873 0.00618167 0.145208 0.00907346 25.4424 1.59376 0.272621 0.094974 0.392928 0.137228 0.359869 0.029674 0.330368 0.0615775 115.532 3.9169 1.08316 0.22848
