events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 32 90 0 19 1.02529 0.0114188 7.14301e+06 0 3.15365 0.846147 1.44968e+07 0 0.169694 0.0599802 80.3772 1.08293 0.0419615 0.00138657 230.178 5.42753 80.5888 1.1443 0.0394237 0.00123768 0.0786486 0.0260616 0.0182019 0.0057356 209.521 5.89278 0.136274 0.0330349 0.0336551 0.00597909 0.0213789 0.00265909 0.0392958 0.0105572 144.168 5.27583 0.0943298 0.0191954 0.0312089 0.0122655 0.0132083 0.00134142 0.0181403 0.00243003 145.401 5.93622 0.0625575 0.016037 0.273982 0.0615252 80.4904 1.08325 0.1176 0.0123361 729.268 11.2808 80.882 1.15711
30 3 1 32 180 60 19 2.05044 0.0214008 1.42893e+07 0 6.18837 1.57419 2.89007e+07 0 0.14023 0.0403503 79.333 1.13574 0.0542691 0.0013071 228.583 4.47154 79.5275 1.1774 0.0478949 0.00103842 0.14701 0.0433352 0.0310139 0.00595053 210.525 7.44713 0.225919 0.0503242 0.0450711 0.0177491 0.0271846 0.000501771 0.0630753 0.00782922 149.467 4.30408 0.135331 0.0260801 0.0420264 0.010554 0.0133177 0.00200397 0.0197937 0.002829 147.837 7.27437 0.0751378 0.015387 0.275223 0.0453392 79.5205 1.13657 0.168152 0.0103159 736.411 12.1201 79.9639 1.19222
30 3 1 32 360 120 19 3.05653 0.0348993 2.14412e+07 0 9.08883 2.30604 4.33098e+07 0 0.0734873 0.0160302 80.6337 1.59392 0.0771107 0.00195086 232.163 4.07801 80.7843 1.6119 0.0669893 0.00207536 0.150673 0.0373194 0.0321362 0.0063029 211.493 4.79357 0.249799 0.0456977 0.07598 0.0170341 0.0442209 0.00869149 0.0732005 0.0145761 147.27 6.00484 0.193401 0.0403017 0.0610245 0.017916 0.0153319 0.00850183 0.0191229 0.00392427 147.465 5.21823 0.0954793 0.0303421 0.277481 0.0295367 80.8439 1.5944 0.20157 0.0164741 738.391 10.1438 81.323 1.64041
30 3 1 32 540 150 19 4.06501 0.0511807 2.85999e+07 0 11.7322 2.76128 5.77244e+07 0 0.199911 0.055386 79.9484 1.4198 0.096699 0.00355644 231.145 2.69893 80.245 1.47875 0.0949984 0.00263854 0.13451 0.0384441 0.0337181 0.008381 209.752 4.95351 0.263226 0.0494636 0.11782 0.0287945 0.0529549 0.0107619 0.137262 0.0326864 149.295 4.50976 0.308037 0.0722428 0.094926 0.0309593 0.0147833 0.00285624 0.0216063 0.00565081 148.744 6.08842 0.131316 0.0394664 0.507655 0.0697293 80.1506 1.42037 0.289285 0.034398 738.936 9.44607 80.9476 1.5245
30 3 1 32 1290 270 19 5.07707 0.0701039 3.57838e+07 0 14.3577 3.21036 7.21614e+07 0 0.215132 0.0540773 81.0747 1.17646 0.187618 0.00408734 234.607 5.41996 81.4775 1.23463 0.162954 0.00664694 0.125228 0.0432375 0.0507031 0.0169376 211.923 8.96613 0.338885 0.066822 0.178278 0.0767578 0.0678608 0.0277396 0.197191 0.0807182 147.666 7.16423 0.44333 0.185216 0.214182 0.0385013 0.0177295 0.00288816 0.0262238 0.004958 149.657 8.49176 0.258135 0.0463474 0.770545 0.101699 81.2856 1.17759 0.461736 0.0827261 743.854 15.271 82.5178 1.36201
30 3 1 32 21060 5880 19 6.17617 0.0897614 4.36563e+07 0 17.3942 4.03261 8.74668e+07 0 1.28759 0.239448 78.5375 1.51773 1.19013 0.0119304 235.495 4.63589 81.0152 1.7691 3.92713 0.0266832 0.140268 0.0435152 7.34637 1.57523 224.418 8.34133 11.4138 1.64543 9.41239 1.39613 3.01981 0.484055 5.80165 0.732676 176.524 31.3728 18.2339 2.61286 4.47182 0.712037 0.0757129 0.00545769 0.227162 0.0323071 159.931 18.9417 4.7747 0.749802 19.0989 1.58563 81.7733 1.59365 14.5653 1.73763 796.368 37.8696 115.438 4.9169
30 3 1 32 326100 94200 19 11.0819 0.145932 7.38321e+07 0 45.2318 5.44822 1.9388e+08 0 9.52388 1.50034 80.6987 1.82994 15.6281 0.172221 263.971 5.3569 105.851 3.50249 618.085 0.504877 0.11317 0.042554 1093.8 4.30538 1979.12 6.49401 1712 4.85281 3099.87 0.976987 321.377 1.87182 2463.21 0.618788 6077.21 5.35719 5884.46 3.46759 1700.56 1.3202 15.1307 1.43419 35.683 0.432892 1919.75 6.99517 1751.38 3.18728 5428.04 2.28108 417.319 2.98514 3608.33 4.3745 10240 12.1861 9453.69 9.64072
30 3 1 32 2580 780 19 12.1004 0.158797 8.1063e+07 0 47.6864 5.70556 2.08358e+08 0 0.380729 0.0623425 79.8066 1.37606 0.297567 0.00796055 230.539 5.36836 80.4849 1.44636 0.319117 0.00331541 0.125807 0.0494462 0.129447 0.0477529 212.357 6.24829 0.574371 0.100515 0.639422 0.150049 0.165875 0.0546701 0.554568 0.173235 150.772 4.24416 1.35987 0.377954 0.341369 0.145191 0.0370901 0.00943079 0.0510357 0.0104119 148.855 6.19089 0.429494 0.165034 1.68064 0.217928 80.1354 1.37806 1.03262 0.180174 742.522 11.1445 82.8487 1.77617
30 3 1 32 43950 13200 19 13.2898 0.177774 8.97762e+07 0 50.3071 5.69324 2.25609e+08 0 2.21673 0.438528 80.0451 1.55118 2.22938 0.0246993 238.481 4.80162 84.4913 2.01441 16.0327 0.0194457 0.129515 0.0473864 21.032 1.51879 250.47 7.44952 37.1942 1.58562 41.3353 1.41946 10.9278 1.49702 33.0014 0.0312321 237.475 4.26656 85.2645 2.94771 12.3585 1.38887 0.168711 0.0649751 0.643752 0.176414 163.531 5.0191 13.171 1.63026 71.9433 2.03385 91.2711 2.15724 56.9066 1.52952 889.957 11.0429 220.121 5.7206
30 3 1 32 5520 1470 19 14.3204 0.189415 9.71068e+07 0 52.5505 5.69491 2.40193e+08 0 0.471662 0.123102 79.094 1.4797 0.425885 0.0107978 230.796 6.52316 79.9916 1.6136 0.721797 0.0037371 0.150236 0.0472228 0.807353 0.189716 213.273 5.84011 1.67939 0.240676 2.31857 0.0143429 0.434378 0.149447 2.04732 0.267441 156.032 4.85821 4.80027 0.43123 0.77351 0.241335 0.0386671 0.00696804 0.0630634 0.0156187 152.708 6.05241 0.875241 0.263921 4.28554 0.271323 79.7173 1.488 3.34362 0.328447 752.808 11.7001 87.3465 2.08776
