events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 256 90 0 19 3.42055 0.229372 7.14301e+06 0 4.28265 0.031259 1.44244e+07 0 0.0325466 0.00896267 1.00819 0.00605926 0.0185978 0.00470185 46.9236 3.56207 1.05934 0.0197238 0.0402751 0.000456211 0.0669952 0.00111563 0.0191137 0.000313982 126.342 1.99226 0.126384 0.00188582 0.0783946 0.0964275 0.0174249 0.00915011 0.0444367 0.0624375 23.7476 1.40836 0.140256 0.168015 0.207297 0.0968084 0.0166561 0.00961337 0.0393707 0.0146716 25.0565 1.5989 0.263324 0.121093 0.358513 0.136933 1.10927 0.0146322 0.121519 0.064311 222.07 4.60406 1.5893 0.215876
30 3 1 256 180 60 19 6.51348 0.427342 1.42893e+07 0 8.57071 0.071954 2.87558e+07 0 0.0291273 0.00869052 1.00725 0.0026505 0.0190274 0.00451282 45.9647 2.71476 1.05541 0.0158538 0.0441781 0.000681317 0.0682378 0.00411476 0.019575 0.00101476 126.085 2.58339 0.131991 0.00581084 0.0614278 0.0834156 0.0181955 0.00921624 0.0294662 0.0105116 23.6446 1.48836 0.109089 0.103143 0.114079 0.0834807 0.0379627 0.0336228 0.0493485 0.0154693 25.0441 1.5937 0.20139 0.132573 0.248812 0.118335 1.13165 0.035205 0.117417 0.0192663 220.738 4.33577 1.49788 0.172806
30 3 1 256 360 120 19 9.65545 0.574704 2.14412e+07 0 12.845 0.0730926 4.30923e+07 0 0.0268024 0.00886325 1.00997 0.00236201 0.0210269 0.00480311 45.3121 2.98435 1.0578 0.0160284 0.0467073 0.000491382 0.0663939 0.00120054 0.0197409 0.000392324 122.705 3.40173 0.132842 0.00208425 0.0995926 0.104998 0.0206447 0.00914708 0.031355 0.010314 23.4683 1.41045 0.151592 0.124459 0.118145 0.0925131 0.0218398 0.0173371 0.0560194 0.0147287 25.0515 1.53948 0.196004 0.124579 0.291247 0.140222 1.11885 0.0197804 0.128142 0.0186155 216.536 4.98373 1.53824 0.178617
30 3 1 256 540 150 19 12.8549 0.696832 2.85999e+07 0 17.1538 0.120515 5.74344e+07 0 0.0326829 0.0079621 1.00843 0.00208927 0.0201894 0.00461901 43.5944 2.843 1.0613 0.0146704 0.0497775 0.000520357 0.0678596 0.00340528 0.0201086 0.000792347 126.213 1.8842 0.137746 0.00471798 0.0327027 0.00703884 0.0201796 0.00891578 0.0420988 0.00843344 23.746 1.38662 0.0949811 0.0243881 0.106878 0.0810624 0.0148783 0.00811333 0.0902338 0.0117721 24.6312 1.4349 0.21199 0.100948 0.222041 0.0817577 1.11135 0.0126995 0.17263 0.0152207 218.184 3.95152 1.50602 0.109678
30 3 1 256 1290 270 19 16.101 0.707948 3.57838e+07 0 21.4495 0.127791 7.17989e+07 0 0.0277836 0.0102608 1.01095 0.00170167 0.0234882 0.00434837 46.6735 2.61179 1.06222 0.0163109 0.0574136 0.000582464 0.0659858 0.00128328 0.0214935 0.000492235 124.706 2.5726 0.144893 0.00235798 0.0358788 0.00531486 0.0188802 0.00829176 0.0472947 0.00637489 22.98 1.17605 0.102054 0.0199815 0.0564258 0.000614094 0.00809553 4.49961e-05 0.130018 0.00698419 24.8613 1.51489 0.19454 0.00764328 0.177502 0.0115866 1.10391 0.00856141 0.222295 0.0104196 219.221 4.13735 1.50371 0.0305676
30 3 1 256 21060 5880 19 19.3269 0.992858 4.36563e+07 0 25.8917 0.136299 8.70303e+07 0 0.0349228 0.0101368 1.01021 0.00248069 0.0421396 0.00028958 46.1429 3.73513 1.08728 0.0129071 0.139183 0.00057857 0.0711738 0.00466309 0.0767329 0.0009355 125.873 2.85071 0.28709 0.00617716 0.0616976 0.00544148 0.089309 0.00147199 0.0942212 0.00399291 24.7335 1.40436 0.245228 0.0109064 0.0707158 0.00436237 0.0131483 0.005914 0.220341 0.00348012 26.7246 4.71636 0.304205 0.0137565 0.30652 0.0123178 1.18384 0.00806476 0.433435 0.00538643 223.474 6.80397 1.9238 0.025769
30 3 1 256 326100 94200 19 27.0645 1.17132 7.38327e+07 0 57.5895 0.16975 1.92912e+08 0 0.123464 0.00603751 1.00737 0.00546033 2.83075 0.00913956 54.5627 3.69087 3.96158 0.0206374 17.2069 0.0732298 0.0682888 0.00456484 25.1427 0.0137795 232.488 1.68673 42.4179 0.0915741 37.5894 0.0139577 3.61695 0.00123662 35.9815 0.00972755 142.768 1.9629 77.1878 0.0249218 15.6801 0.00719063 0.203029 0.00136116 3.6428 0.00913458 70.3284 1.80066 19.5259 0.0176864 70.5998 0.075137 4.89564 0.00735085 67.5977 0.0212479 500.147 4.85416 143.093 0.103736
30 3 1 256 2580 780 19 30.1797 1.31346 8.10636e+07 0 61.894 0.20234 2.07318e+08 0 0.0308677 0.0099872 1.00626 0.0031169 0.0198066 0.00141486 43.8168 3.35932 1.05693 0.014519 0.0705646 0.000402866 0.0660937 0.00331898 0.0254134 0.000479495 124.929 2.52039 0.162072 0.00420134 0.0238862 0.00716176 0.0887508 0.0514009 0.0245642 0.00703675 24.0819 1.72403 0.137201 0.0655995 0.301333 0.0655954 0.00884681 4.39021e-05 0.21974 0.000393983 26.2089 1.48869 0.529919 0.0660333 0.426651 0.066738 1.16995 0.0516022 0.289524 0.00720436 219.036 4.77764 1.88612 0.125545
30 3 1 256 43950 13200 19 33.553 1.64183 8.97768e+07 0 66.705 0.259547 2.24487e+08 0 0.0419696 0.00885063 1.04357 0.0597043 0.130385 0.00401505 44.5757 3.04371 1.21592 0.07257 0.40117 0.00512057 0.0695746 0.0088148 0.347271 0.00108655 126.127 2.43997 0.818015 0.0150219 0.439957 0.00602581 0.211961 0.0899618 0.488977 0.0830172 24.6431 2.08877 1.1409 0.179005 0.363396 0.108369 0.0760812 0.002828 0.152222 0.0158802 27.3892 1.47973 0.591699 0.127077 1.24649 0.109017 1.40119 0.108367 1.11885 0.0846247 222.735 4.66585 3.76653 0.302009
30 3 1 256 5520 1470 19 36.7253 1.95504 9.71074e+07 0 70.9936 0.286049 2.38998e+08 0 0.020429 0.00890717 1.00997 0.0179061 0.021531 0.000268833 44.8435 3.74541 1.05193 0.0270821 0.0823907 0.000512956 0.0683658 0.00375255 0.0304569 0.000943107 127.25 1.77982 0.181213 0.00520861 0.130971 0.101037 0.0755235 0.00463497 0.0656201 0.0845831 23.8714 1.87569 0.272115 0.190255 0.188338 0.117027 0.00953279 0.000159534 0.238265 0.00499875 26.5253 1.28969 0.436136 0.122185 0.422129 0.154865 1.16339 0.0188737 0.355873 0.0847363 222.49 4.73047 1.94139 0.258475
30 3 1 256 84510 24450 19 40.4207 2.13206 1.07409e+08 0 77.2369 0.31316 2.61235e+08 0 0.0473638 0.00945894 1.0101 0.00221727 0.408958 0.00361597 49.2437 3.76991 1.46642 0.0152922 1.39722 0.00607356 0.0681339 0.00373838 1.63092 0.00215151 132.015 1.94343 3.09628 0.0119635 1.75398 0.00479045 0.316203 0.00334657 1.68058 0.0957527 28.5587 2.0525 3.75076 0.10389 0.749038 0.00484304 0.0776917 0.00361189 0.309407 0.0639536 29.983 2.18026 1.13614 0.0724085 3.9476 0.0131439 1.47213 0.00656788 4.02986 0.115223 239.8 5.19186 9.4496 0.134935
30 3 1 256 11130 3270 19 43.6248 2.29663 1.14941e+08 0 81.5962 0.365967 2.75985e+08 0 0.0338334 0.00954997 1.00658 0.00581645 0.0270756 0.000186678 44.0758 3.44897 1.06749 0.0155531 0.110081 0.00687339 0.0655773 0.00487284 0.0444791 0.000306631 127.661 1.57059 0.220137 0.0120529 0.0417611 0.00631467 0.0886706 0.014394 0.0620578 0.0624644 24.5744 1.8443 0.192489 0.0831731 0.0984398 0.0792154 0.0114423 0.000608432 0.213106 0.00509223 25.9655 1.6079 0.322988 0.0849161 0.284115 0.080333 1.17227 0.0162829 0.346719 0.0626727 222.277 4.51098 1.8031 0.159289
30 3 1 256 165720 47790 19 47.7717 2.6228 1.28999e+08 0 93.0511 0.461786 3.1549e+08 0 0.0655601 0.00873399 1.00791 0.00335262 1.1758 0.0043882 47.0644 3.02502 2.24928 0.0164748 4.96179 0.0210516 0.0677186 0.000899782 6.71918 0.00305516 149.584 1.34951 11.7487 0.0250066 7.12893 0.00572348 0.933311 0.00117943 6.63469 0.0606846 41.1359 2.42733 14.6969 0.0675875 3.14221 0.00952773 0.090862 0.00394712 0.740351 0.0590085 38.9832 3.05885 3.97342 0.0724833 15.2985 0.0253572 2.09981 0.00538706 15.27 0.0848128 276.768 5.12059 32.6683 0.115557
