events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 32 90 0 19 8.97119 0.17174 5.57776e+07 0 26.2217 4.27355 1.12538e+08 0 0.239266 0.0629131 603.141 3.05284 0.0446387 0.00266726 784.185 9.29038 603.425 3.11842 0.0471775 0.00249403 0.129022 0.0456848 0.0266505 0.00813062 601.893 3.82507 0.20285 0.0563094 0.0433078 0.00909863 0.0192255 0.00373973 0.0348289 0.00830106 147.991 7.33484 0.0973622 0.0211394 0.0318723 0.00662975 0.01172 0.00230108 0.0160291 0.00364317 148.262 7.62207 0.0596213 0.012574 0.361623 0.0639611 603.301 3.05318 0.122147 0.012466 1682.33 14.589 603.785 3.12961
30 3 1 32 180 60 19 17.9257 0.146581 1.11558e+08 0 52.6011 8.63748 2.24983e+08 0 0.135956 0.0487269 606.227 2.11948 0.0577481 0.00533197 786.879 9.82166 606.42 2.17354 0.0688854 0.00390838 0.12436 0.0449357 0.0268283 0.00965863 600.204 5.13573 0.220074 0.0585027 0.0566604 0.00767298 0.0261788 0.00318021 0.0599429 0.00837918 146.954 6.50573 0.142782 0.0192324 0.0479874 0.0134878 0.0157993 0.00754747 0.0192658 0.00279046 146.796 5.56169 0.0830526 0.0238257 0.309489 0.0512872 606.393 2.11997 0.163785 0.0141321 1680.83 14.0035 606.866 2.18539
30 3 1 32 360 120 19 26.9026 0.146182 1.67345e+08 0 79.0896 12.9582 3.37433e+08 0 0.0923542 0.0206116 606.493 2.16254 0.0831731 0.00514126 789.997 6.05552 606.669 2.18829 0.092388 0.00305106 0.0972514 0.0453803 0.0224303 0.00878247 603.489 4.09684 0.21207 0.0572139 0.0652809 0.01787 0.042088 0.0139737 0.070791 0.0208892 149.047 4.25779 0.17816 0.052733 0.0447219 0.0221121 0.0116901 0.00281671 0.0168011 0.00452029 150.05 5.85723 0.0732131 0.0294491 0.294745 0.0352481 606.644 2.16306 0.193195 0.0236719 1692.58 10.2903 607.132 2.22198
30 3 1 32 540 150 19 35.862 0.171438 2.23138e+08 0 105.456 17.3102 4.49889e+08 0 0.240035 0.0498785 607.116 2.09013 0.105911 0.00778121 790.939 5.45732 607.462 2.14779 0.134682 0.00339063 0.147335 0.0463362 0.0351727 0.00929998 605.085 6.95505 0.317189 0.0590268 0.136745 0.019259 0.0560123 0.0143636 0.131016 0.0258768 149.35 6.30166 0.323773 0.0594994 0.0788785 0.0332339 0.0156739 0.00278828 0.0211274 0.00408378 149.115 5.84232 0.11568 0.0401059 0.59034 0.0630457 607.335 2.09069 0.293227 0.0288673 1694.49 12.3288 608.219 2.18261
30 3 1 32 1290 270 19 44.8118 0.207092 2.78957e+08 0 131.849 21.6371 5.62367e+08 0 0.262018 0.0403739 604.509 2.41958 0.216606 0.0180462 787.375 9.03166 604.987 2.478 0.21083 0.00503003 0.149489 0.0446731 0.0560529 0.0150855 601.414 4.36852 0.416372 0.0647887 0.277863 0.0584043 0.094644 0.000988625 0.297224 0.0124705 151.865 4.46019 0.669731 0.0718634 0.223539 0.038939 0.017156 0.00934701 0.0212357 0.00683785 150.54 4.30721 0.261931 0.0551238 0.974251 0.0811336 604.77 2.42001 0.591118 0.0274865 1691.19 11.7941 606.335 2.52863
30 3 1 32 21060 5880 19 53.8502 0.243872 3.35464e+08 0 160.237 24.1426 6.75713e+08 0 1.58211 0.20514 607.316 1.48421 1.79815 0.12229 797.906 4.29002 610.696 1.81164 3.50017 0.00862368 0.0888232 0.0433623 7.74619 1.72733 611.478 8.84068 11.3352 1.77931 10.3063 1.54012 3.32879 0.540482 6.62865 1.18114 172.513 5.51709 20.2637 3.26174 4.30459 0.717869 0.0862244 0.0142931 0.230843 0.00892035 154.712 4.7622 4.62166 0.741082 19.6932 1.71156 610.82 1.58022 16.4038 2.09614 1736.61 12.2343 646.917 5.38792
30 3 1 32 326100 94200 19 66.6518 0.256207 4.14274e+08 0 217.042 24.3893 8.80167e+08 0 9.68561 1.52497 606.592 2.25133 19.1548 0.54596 828.445 5.78104 635.432 4.32226 384.867 0.913065 0.101391 0.0423051 1080.33 4.93234 2122.1 3.93179 1465.29 5.88771 2040 3.28539 325.564 1.70437 1939.22 3.6814 4496.38 8.01952 4304.79 8.67115 1701.35 2.58024 18.2987 1.9196 34.8484 0.256141 1918.86 6.81782 1754.5 4.75598 4135.91 4.53989 950.556 3.41468 3073.55 6.1842 9365.78 12.6362 8160.01 14.1388
30 3 1 32 2580 780 19 75.5988 0.271423 4.70139e+08 0 248.148 24.2879 9.92687e+08 0 0.441852 0.0376902 605.845 1.94407 0.439431 0.0395803 792.889 7.96616 606.727 2.02134 0.375666 0.00512389 0.134695 0.0547249 0.140607 0.0457104 602.805 6.66069 0.650968 0.105559 0.762809 0.0879059 0.19459 0.0390714 0.729278 0.0970896 150.096 6.10383 1.68668 0.224067 0.487441 0.113317 0.0407025 0.0109295 0.048956 0.00818171 148.339 6.70715 0.577099 0.132428 2.06777 0.148374 606.215 1.94526 1.35827 0.114671 1694.13 13.7865 609.641 2.20831
30 3 1 32 43950 13200 19 84.794 0.316941 5.27487e+08 0 279.815 24.2239 1.10798e+09 0 2.67898 0.460447 608.373 1.84746 3.13999 0.118996 804.141 5.14498 614.192 2.42691 12.3842 0.0188285 0.149227 0.0281714 21.0237 1.33718 632.433 5.47393 33.5571 1.38418 37.5571 1.21721 9.29648 1.56363 32.7801 0.0140437 233.452 6.93408 79.6337 2.79488 13.9406 1.71106 0.186589 0.0622579 0.820819 0.0823445 165.743 3.36729 14.948 1.85566 66.5609 2.14981 618.005 2.42131 57.7646 1.34506 1835.77 10.7636 742.331 5.91618
30 3 1 32 5520 1470 19 93.7578 0.352506 5.83452e+08 0 310.991 24.1225 1.2206e+09 0 0.507625 0.134428 606.739 1.93575 0.84463 0.0745987 793.621 5.78814 608.091 2.14478 0.800608 0.00510594 0.136654 0.0535702 0.604498 0.218339 599.657 7.13134 1.54176 0.277015 2.04636 0.344287 0.54348 0.0977835 2.28658 0.258293 154.809 5.78674 4.87642 0.700364 0.848679 0.240815 0.0422251 0.00685271 0.0740231 0.0164102 150.931 6.60078 0.964927 0.264078 4.20327 0.44116 607.461 1.93897 3.80973 0.34673 1699.02 12.7049 615.474 2.72686
