events layers layerTriplets threads hits tracks n readTime readTimeVar readBytes readBytesVar writeTime writeTimeVar writeBytes writeBytesVar buildGridCount buildGridCountVar buildGridScan buildGridScanVar buildGridStore buildGridStoreVar buildGridWalltime buildGridWalltimeVar buildGridKernel buildGridKernelVar pairGenCount pairGenCountVar pairGenScan pairGenScanVar pairGenStore pairGenStoreVar pairGenWalltime pairGenWalltimeVar pairGenKernel pairGenKernelVar tripletPredictCount tripletPredictCountVar tripletPredictScan tripletPredictScanVar tripletPredictStore tripletPredictStoreVar tripletPredictWalltime tripletPredictWalltimeVar tripletPredictKernel tripletPredictKernelVar tripletFilterCount tripletFilterCountVar tripletFilterScan tripletFilterScanVar tripletFilterStore tripletFilterStoreVar tripletFilterWalltime tripletFilterWalltimeVar tripletFilterKernel tripletFilterKernelVar totalCount totalCountVar totalScan totalScanVar totalStore totalStoreVar totalWalltime totalWalltimeVar totalKernel totalKernelVar
30 3 1 256 90 0 19 20.1618 1.06716 5.57776e+07 0 35.7054 0.404614 1.11789e+08 0 0.0318969 0.0122129 7.38699 0.00207523 0.0144974 0.000281708 142.852 10.2004 7.43339 0.0145699 0.0483296 0.00332535 0.0663739 0.00321582 0.0189051 0.000462116 815.03 3.46754 0.133609 0.00700329 0.0686976 0.101141 0.00918645 0.000210302 0.0360569 0.0635996 24.1423 1.26169 0.113941 0.164951 0.235342 0.155618 0.00667785 5.03117e-05 0.0412859 0.0149567 24.8997 1.46426 0.283305 0.170625 0.384266 0.186029 7.46923 0.00383338 0.110745 0.0653369 1006.92 10.9457 7.96424 0.255199
30 3 1 256 180 60 19 40.5336 1.57509 1.11558e+08 0 71.3391 0.629524 2.23484e+08 0 0.0285144 0.0111827 7.36971 0.00579119 0.0153539 0.000282104 140.075 9.51083 7.41358 0.017256 0.0594383 0.00036863 0.0669332 0.00887927 0.0182142 0.0018146 813.022 4.71773 0.144586 0.0110625 0.033326 0.00521467 0.0100499 0.000209309 0.0438282 0.00609373 23.1194 1.38522 0.0872042 0.0115177 0.0788398 0.0571926 0.00945414 0.00830259 0.0679132 0.00877352 24.5193 1.66617 0.156207 0.0742688 0.200118 0.0585097 7.45614 0.0134669 0.14531 0.0108388 1000.73 10.8355 7.80157 0.0828154
30 3 1 256 360 120 19 60.8232 3.15737 1.67345e+08 0 106.963 0.993876 3.35185e+08 0 0.017791 0.00902186 7.39669 0.0610564 0.0174021 0.000204572 139.855 9.01556 7.43188 0.0702828 0.0624334 0.000494504 0.0676375 0.000730088 0.0193222 0.00062942 815.471 4.08433 0.149393 0.00185401 0.0788695 0.0626348 0.0106517 0.000198521 0.0490145 0.00122691 22.9941 1.03944 0.138536 0.0640602 0.0570012 0.000506145 0.00966481 0.00588663 0.0735038 0.00910024 24.6877 1.49998 0.14017 0.015493 0.216095 0.0632852 7.48464 0.0613442 0.159243 0.00920639 1003.01 10.0644 7.85998 0.133836
30 3 1 256 540 150 19 80.8995 3.17953 2.23138e+08 0 142.554 1.26597 4.46892e+08 0 0.0258261 0.0105498 7.37228 0.00576495 0.0168713 0.000573263 140.092 8.79153 7.41498 0.0168881 0.0784454 0.000512752 0.0675809 0.00295561 0.0203124 0.000745863 815.006 6.51138 0.166339 0.00421422 0.0403242 0.00611557 0.0230443 0.0111923 0.0472911 0.00620029 24.1398 1.52812 0.11066 0.0235081 0.0556435 0.00563314 0.00797502 0.000228691 0.0952507 0.00851839 24.6589 1.58328 0.158869 0.0143802 0.200239 0.0134423 7.47089 0.012934 0.179726 0.0105779 1003.9 11.1593 7.85085 0.0369542
30 3 1 256 1290 270 19 101.374 4.9148 2.78957e+08 0 178.157 1.58829 5.5862e+08 0 0.0250957 0.010067 7.38523 0.00654338 0.0189864 0.00102301 140.782 9.97865 7.42931 0.0176334 0.0946895 0.000771496 0.0677915 0.00322677 0.0216713 0.000625733 818.773 4.92226 0.184152 0.004624 0.0353928 0.00615884 0.0138678 0.00451797 0.0425304 0.00891766 22.8319 1.21407 0.0917911 0.0195945 0.0759109 0.0607751 0.00961556 0.00308856 0.124439 0.0120686 24.7774 1.57537 0.209965 0.0759323 0.231089 0.0619151 7.4765 0.00912026 0.207627 0.0150537 1007.16 11.303 7.91522 0.0860891
30 3 1 256 21060 5880 19 121.971 6.1712 3.35464e+08 0 213.982 1.89605 6.71216e+08 0 0.0623837 0.00974367 7.38101 0.00480158 0.0923032 0.00153251 141.096 9.22016 7.53569 0.0160778 0.220475 0.00434994 0.0642985 0.00257683 0.0762968 0.000474263 814.504 2.93073 0.36107 0.00740104 0.11755 0.00225808 0.0883054 0.00328817 0.128208 0.00531348 25.0085 1.30221 0.334064 0.0108597 0.184181 0.101606 0.0117222 5.72317e-05 0.210516 0.00609921 26.2527 1.52452 0.406419 0.107763 0.58459 0.10219 7.54533 0.00636479 0.507324 0.00824663 1006.86 9.88031 8.63725 0.116801
30 3 1 256 326100 94200 19 146.812 7.51501 4.14275e+08 0 276.952 2.20626 8.74462e+08 0 0.64346 0.00816618 7.38121 0.00273338 3.62368 0.00666628 158.832 4.54253 11.6483 0.0175658 19.5617 0.048443 0.0678138 0.000912093 25.2495 0.00837474 931.324 3.66846 44.879 0.0577299 33.7838 0.0122854 3.61615 0.00143013 33.6457 0.0143548 134.309 1.74078 71.0456 0.0280703 19.3774 0.00741012 0.204052 0.00716195 3.60731 0.00537764 74.942 3.16519 23.1887 0.0199497 73.3663 0.0511786 11.2692 0.00785125 66.1262 0.0186964 1299.41 6.86592 150.762 0.0777262
30 3 1 256 2580 780 19 167.863 8.69939 4.7014e+08 0 312.559 2.51008 9.86233e+08 0 0.0370443 0.00806212 7.37429 0.00493129 0.0233017 0.00162289 150.415 2.09474 7.43464 0.0146163 0.132139 0.000618772 0.0666051 0.00183776 0.0251797 0.000415734 815.935 3.35197 0.223924 0.00287226 0.0297368 0.00684878 0.0753296 0.00226839 0.0280977 0.00510709 23.8783 1.65855 0.133164 0.0142243 0.26461 0.0780524 0.00893569 0.000117999 0.220261 0.000208645 26.1034 1.49751 0.493806 0.0783791 0.46353 0.0787684 7.52516 0.00573188 0.29684 0.0053789 1016.33 4.54059 8.28553 0.0898792
30 3 1 256 43950 13200 19 188.354 10.0871 5.27488e+08 0 348.766 2.7996 1.10077e+09 0 0.0930711 0.00809395 7.38515 0.00489043 0.226986 0.00335024 149.099 2.36279 7.70521 0.0163346 0.441718 0.00671292 0.0660164 0.00154755 0.349178 0.00087587 817.506 6.20177 0.856912 0.00913634 0.748824 0.00577955 0.13991 0.00796785 0.748165 0.00569202 25.7872 1.7838 1.6369 0.0194394 0.378021 0.103654 0.0764863 0.000548218 0.143783 0.000578398 27.7702 1.56787 0.598291 0.104781 1.66163 0.104346 7.66757 0.00949202 1.46811 0.00668767 1020.16 7.04875 10.7973 0.120526
30 3 1 256 5520 1470 19 209.17 10.7865 5.83453e+08 0 384.526 3.10324 1.21264e+09 0 0.028187 0.00952282 7.38723 0.00233298 0.0317126 0.00024267 150.181 2.60298 7.44713 0.0120985 0.146729 0.000689556 0.0640224 0.00586364 0.0298633 0.00257986 817.845 4.85672 0.240615 0.00913306 0.0805655 0.0848282 0.0766037 0.00326891 0.0733606 0.0865382 24.0198 1.19488 0.23053 0.174635 0.146213 0.10656 0.0101371 0.00131567 0.234451 0.000290606 26.2341 1.56252 0.390801 0.108166 0.401695 0.136535 7.538 0.00722785 0.369388 0.0865775 1018.28 5.85085 8.30908 0.230341
30 3 1 256 84510 24450 19 231.605 11.695 6.42389e+08 0 422.131 3.29533 1.33224e+09 0 0.179709 0.010083 7.38521 0.00220752 0.606705 0.00421902 153.666 2.97613 8.17162 0.0165095 1.34045 0.0164927 0.0679428 0.00119129 1.63198 0.00113116 823.167 4.25284 3.04038 0.0188152 2.65851 0.00685385 0.315743 0.00555239 2.68388 0.0040862 32.1009 2.56429 5.65813 0.0164924 0.860398 0.00967303 0.0836703 0.00865448 0.288228 0.00205258 31.3368 1.74159 1.2323 0.0203801 5.03906 0.0226764 7.85256 0.010584 5.21079 0.00632375 1040.27 6.04589 18.1024 0.0395842
30 3 1 256 11130 3270 19 251.761 12.2094 6.98555e+08 0 457.78 3.62046 1.44436e+09 0 0.043103 0.0099733 7.38632 0.0034726 0.0498588 0.000703257 149.913 3.581 7.47928 0.0141492 0.173816 0.00389336 0.0736595 0.0112231 0.0452867 0.000428784 817.818 2.42085 0.292762 0.0155452 0.105103 0.06962 0.0780911 0.00458815 0.0770845 0.00372541 23.5976 1.20491 0.260279 0.0779336 0.140243 0.0994364 0.0123391 0.00339001 0.207397 0.00213256 26.0107 1.55579 0.35998 0.104959 0.462265 0.121857 7.55041 0.0130598 0.379627 0.00437092 1017.34 4.74935 8.3923 0.139288
30 3 1 256 165720 47790 19 274.322 14.5048 7.61248e+08 0 500.443 3.98104 1.58123e+09 0 0.325115 0.0092777 7.38374 0.00423993 1.57285 0.00544474 154.905 3.86065 9.28171 0.0189624 5.43943 0.0208129 0.0699482 0.00285003 6.72848 0.00414543 839.182 1.97426 12.2379 0.0278084 8.78165 0.00637129 0.938391 0.00954229 8.77725 0.00301139 47.1349 2.21123 18.4973 0.018925 3.83581 0.0608807 0.089878 0.00351336 0.715685 0.00581323 39.5178 3.05277 4.64137 0.0702073 18.382 0.065317 8.48196 0.0113797 17.7943 0.00947058 1080.74 5.74554 44.6582 0.0861673
